endpoint,n,mean,se,k,ci95_low,ci95_high,p_one_sided,positive_pairs
u_mean_test_benefit,30,0.030708178939918684,0.005038168984287355,2.045229642132703,0.020403966391180573,0.04101239148865679,6.136931300840376e-07,26
u_sd_test_benefit,30,-0.005730064211385779,0.0024949285569082096,2.045229642132703,-0.010832766050977816,-0.0006273623717937401,0.9854748228365372,12
u_p10_test_benefit,30,0.03723938668767612,0.005821373374669261,2.045229642132703,0.025333341303880458,0.049145432071471776,2.6961405054759454e-07,25
u_min_test_benefit,30,0.03881335258483887,0.007213108737938957,2.045229642132703,0.024060888782079702,0.05356581638759803,4.400953506687399e-06,24
u_clean_test_benefit,30,-0.013803048928578695,0.015060380509293505,2.045229642132703,-0.04460498556798338,0.016998887710825996,0.8165216851664122,13
u_gradient_gap,30,0.20650590093423185,0.0027716976283374503,2.045229642132703,0.20083714278572717,0.21217465908273653,5.566373946456518e-35,30
u_hardness_diff,30,-0.00046279071974590375,0.0005797595158405554,2.045229642132703,-0.001648532066851512,0.0007229506273597045,0.7843917863163161,13
u_parameter_z_diff,30,0.0011102218957225356,0.0005663455918456661,2.045229642132703,-4.808489641141005e-05,0.0022685286878564815,0.029813961464668772,19
u_translation_gap,30,0.7609331770832828,0.010858453751319184,2.045229642132703,0.7387251456033578,0.7831412085632078,3.25896287930538e-34,30
u_high_vs_reference,30,0.025234343068053337,0.005848649396429095,2.045229642132703,0.013272511956035009,0.037196174180071664,8.464947694594973e-05,23
u_low_vs_reference,30,-0.005473835871865351,0.00631421256560209,2.045229642132703,-0.01838785057776153,0.007440178834030827,0.8034452716320581,11
m_mean_test_benefit,30,0.02040585078919927,0.005763542588655286,2.045229642132703,0.008618082643187228,0.03219361893521132,0.0006851230518210412,22
m_sd_test_benefit,30,-0.0016755409497018656,0.0025375646626840816,2.045229642132703,-0.006865443416651823,0.003514361517248092,0.7428622328151172,13
m_p10_test_benefit,30,0.025451176762580876,0.006246660560661705,2.045229642132703,0.012675321419574268,0.038227032105587484,0.0001633969268360707,21
m_min_test_benefit,30,0.012154921889305115,0.0064371578074119695,2.045229642132703,-0.0010105440694998021,0.025320387848110033,0.03451726571892592,20
m_clean_test_benefit,30,0.021343223253885903,0.010018775556750159,2.045229642132703,0.0008525265073459042,0.041833920000425906,0.020876682999873126,17
m_gradient_gap,30,0.10094516396289692,0.00146253003761845,2.045229642132703,0.0979539541774502,0.10393637374834364,5.0502432768573225e-34,30
m_hardness_diff,30,-0.0017994481065042908,0.0007194606955657677,2.045229642132703,-0.0032709104474248117,-0.00032798576558377003,0.9908607348003394,10
m_parameter_z_diff,30,0.0001010919380187867,0.0004780812227025708,2.045229642132703,-0.0008766939499995572,0.0010788778260371306,0.4170062165684923,18
m_translation_gap,30,0.021820928235535143,0.0024883533677455254,2.045229642132703,0.016731674167721255,0.02691018230334903,5.944748056359919e-10,28
m_high_vs_reference,30,0.019276369754225017,0.006800261783797706,2.045229642132703,0.00536827277973974,0.033184466728710296,0.004135290693250054,20
m_low_vs_reference,30,-0.0011294810349742556,0.006507949073660188,2.045229642132703,-0.014439731389914138,0.012180769319965626,0.5682891414632847,14
benefit_difference_u_minus_m,30,0.010302328150719412,0.007272095999174148,2.045229642132703,-0.004570778147226192,0.02517543444866502,0.08361302236118073,19
