alpha,beta,structured_novelty_gain,nuisance_novelty_gain,novelty_mismatch,structured_candidate_loss,nuisance_candidate_loss,candidate_loss_mismatch,calibration_score
0.65,0.15,0.15179149180650714,0.10770222530700271,0.044089266499504426,1.7303352971374988,1.728971197605133,0.0013640995323658256,1.4832832119738057
0.65,0.12,0.15179149180650714,0.10557120157405735,0.04622029023244979,1.7303352971374988,1.6828771387785675,0.0474581583589313,2.0152579246709728
0.65,0.09,0.15179149180650714,0.10681231968104843,0.04497917212545871,1.7303352971374988,1.6413772632926702,0.08895803384482859,2.388886075963576
0.7,0.03,0.15179149180650714,0.08628072759136558,0.06551076421514156,1.7303352971374988,1.7734062545001508,0.043070957362651985,2.6144017141312386
0.7,0.06,0.15179149180650714,0.09016632946208121,0.06162516234442593,1.7303352971374988,1.8021585886925462,0.07182329155504741,2.772404993698005
0.65,0.03,0.15179149180650714,0.11376499811187388,0.03802649369463326,1.7303352971374988,1.5749153490364551,0.15541994810104365,2.8217492708315453
0.65,0.06,0.15179149180650714,0.10178437596186998,0.05000711584463716,1.7303352971374988,1.606007681041956,0.12432761609554288,2.910180022443334
0.7,0.09,0.15179149180650714,0.09038171123713254,0.0614097805693746,1.7303352971374988,1.8337169666588307,0.10338166952133188,3.080809380859139
0.6,0.15,0.15179149180650714,0.11393001802265643,0.03786147378385071,1.7303352971374988,1.5394869220256806,0.19084837511181818,3.170532877246539
0.7,0.12,0.15179149180650714,0.08994660256430506,0.06184488924220208,1.7303352971374988,1.868443913012743,0.13810861587524426,3.4425824668258453
0.6,0.12,0.15179149180650714,0.11944908579811457,0.03234240600839257,1.7303352971374988,1.491450176537037,0.23888512060046185,3.466931406284371
0.7,0.15,0.15179149180650714,0.09386806054040789,0.05792343126609925,1.7303352971374988,1.8992504172772169,0.1689151201397181,3.6199322436004895
0.6,0.09,0.15179149180650714,0.11362242095172406,0.03816907085478308,1.7303352971374988,1.4428293728083372,0.28750592432916156,4.147361605117718
0.6,0.06,0.15179149180650714,0.1193740342184901,0.032417457588017035,1.7303352971374988,1.4023704821243883,0.3279648150131105,4.3602300697316725
0.75,0.03,0.15179149180650714,0.07959075666964052,0.07220073513686662,1.7303352971374988,1.9425390600413084,0.2122037629038096,4.528728800266983
0.6,0.03,0.15179149180650714,0.12014837425202134,0.0316431175544858,1.7303352971374988,1.3713622656464577,0.3589730314910411,4.6445009000599375
0.75,0.06,0.15179149180650714,0.08087245959788561,0.07091903220862153,1.7303352971374988,1.9657606133818626,0.2354253162443638,4.718220902731023
0.75,0.09,0.15179149180650714,0.07410771980881692,0.07768377199769022,1.7303352971374988,1.9894606654345992,0.2591253682971004,5.180712749560678
0.75,0.12,0.15179149180650714,0.06483988471329212,0.08695160709321502,1.7303352971374988,2.0167301751673223,0.28639487802982355,5.762335683405404
0.75,0.15,0.15179149180650714,0.06721973411738871,0.08457175768911843,1.7303352971374988,2.0420899517834186,0.3117546546459198,5.936605136096478
