rep,clean_benefit,weak_benefit,full_benefit,interaction
1200,0.03370785713195801,0.03154494203627112,0.01471910160034895,-0.01898875553160906
1201,0.013483166694641113,0.014606745168566693,0.02109550070017585,0.007612334005534738
1202,0.02022475004196167,0.02117976509034636,0.02862359620630739,0.008398846164345719
1203,0.020224690437316895,0.019213458895683266,0.039297752268612485,0.01907306183129559
1204,-0.09438201785087585,-0.09494382292032244,0.023679776303470068,0.11806179415434592
1205,0.04719102382659918,0.045646071806550115,0.03980336673557766,-0.007387657091021516
1206,0.006741583347320501,0.006376393511891398,0.01707865670323372,0.010337073355913218
1207,0.06741571426391602,0.06561795398592946,0.006685395166277863,-0.06073031909763815
1208,0.0516853928565979,0.051601118221878906,0.042696629278361875,-0.008988763578236025
1209,0.03146067261695856,0.02887640036642547,0.03637640494853256,0.0049157323315739965
1210,0.017977535724639893,0.014943822473287516,0.031039327383041493,0.0130617916584016
1211,-0.024719119071960505,-0.02449439950287352,0.02426966279745102,0.048988781869411524
1212,0.013483136892318781,0.01421348154544827,0.03185393325984476,0.018370796367525977
1213,0.06516855955123901,0.06058988869190213,0.04980337154120207,-0.015365188010036945
1214,0.0359550416469574,0.038061784207820804,0.06008427068591127,0.02412922903895387
1215,0.03595504164695745,0.039971913024783146,0.014073032885789871,-0.021882008761167582
1216,0.029213488101959284,0.03098314404487601,0.026179775595664978,-0.003033712506294306
1217,-0.09662920236587519,-0.09955056421458719,0.026910111866891406,0.1235393142327666
1218,0.07865169644355768,0.08514044247567659,0.045308991149067945,-0.03334270529448974
1219,0.008988767862319946,0.007275297120213464,0.023679773323237896,0.01469100546091795
1220,0.015730321407318115,0.016685380414128315,0.020168539136648234,0.004438217729330118
1221,0.029213488101959284,0.02811798192560666,0.043258429318666525,0.01404494121670724
1222,-0.07415729761123657,-0.07390448674559591,0.05337078571319587,0.12752808332443244
1223,0.051685422658920344,0.05398876816034315,-0.001151681132614657,-0.052837103791535
1224,-0.0764045119285583,-0.07283708825707441,0.03654494304209954,0.11294945497065784
1225,0.08314606547355652,0.08014044612646093,0.01325842961668966,-0.06988763585686686
1226,-0.04719099402427679,-0.04382021836936473,0.007893258891999766,0.055084252916276555
1227,0.08089888095855713,0.0826966285705566,0.04300561491400001,-0.03789326604455712
1228,-0.07640448212623602,-0.07514044605195519,-0.00862359553575509,0.06778088659048093
1229,0.017977535724639837,0.018426972255110752,0.04168539289385087,0.023707857169211033
