,n_steps,n_steps,total_env_evals,total_env_evals,train_seconds,train_seconds,sample_env_per_sec,sample_env_per_sec,mean_test,mean_test,sd_test,sd_test,p10_test,p10_test,min_test,min_test,clean_test,clean_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
m,,,,,,,,,,,,,,,,,,
2,480.0,0.0,960.0,0.0,3.287639331817627,0.07151167782963473,36077.63950581591,781.2174634404184,0.8735674154758453,0.00566918061432688,0.07810060419538858,0.002081911689585722,0.7655280846357345,0.011052277277586394,0.6107865154743195,0.01178675357941818,0.9721348226070404,0.007941502631367286
4,317.0,0.0,1268.0,0.0,3.24364378452301,0.053421210143710235,48318.059124896885,802.3495466695992,0.8804719100892544,0.004971192325588051,0.07615796815775491,0.0019208053107856204,0.7766067379713059,0.007985497207880781,0.6164044857025146,0.011163314790376116,0.9757303416728973,0.007246975307767858
8,186.0,0.0,1488.0,0.0,3.2164177179336546,0.0848922900438255,57191.54821247763,1465.1257785925295,0.8734382027387619,0.008995423680374353,0.07629420278044187,0.0018838264784010572,0.7711460679769516,0.012275593487384386,0.6096629202365875,0.014680484629428203,0.9732584238052369,0.007816867994236285
