metric,n,mean,se,k,ci95_low,ci95_high,p_one_sided,p_two_sided,positive,negative
clean_benefit,30,0.012209740281105021,0.009493563645122102,2.045229642132703,-0.007206777495372095,0.03162625805758214,0.10428988082727203,0.20857976165454406,23,7
weak_benefit,30,0.012373592468599433,0.009481184902647087,2.045229642132703,-0.007017607936835455,0.03176479287403432,0.10106524571473596,0.20213049142947193,23,7
full_benefit,30,0.028422284908592676,0.0029672514871903212,2.045229642132703,0.022353574211328685,0.03449099560585667,8.682656152228836e-11,1.7365312304457673e-10,28,2
interaction,30,0.016212544627487672,0.009481071906209212,2.045229642132703,-0.003178424674283021,0.03560351392925837,0.04897404302652843,0.09794808605305685,19,11
