lr,mean_test,sd_test,p10_test,min_test,clean_test
0.01,0.2312254213960841,0.050570119399119824,0.1684269661083817,0.11292134691029784,0.32471909932792187
0.02,0.2886797750135883,0.07829028978755455,0.18247190881520506,0.12696629296988243,0.46797752752900124
0.05,0.35268609535414724,0.0820014226508956,0.24758427292108534,0.17331460490822787,0.5550561770796776
0.1,0.3959515450755134,0.08712852148595641,0.2817415729165077,0.21320224739611146,0.47387639805674553
0.2,0.4444382020505145,0.0828468197707142,0.3403651762753725,0.2432584278285503,0.449719101190567
0.3,0.4471383426338434,0.08857009875209206,0.3249719083309173,0.21910112537443635,0.45028090104460716
0.5,0.4041818821569904,0.08286486135231733,0.2985955018550157,0.19662921316921708,0.41910112276673317
0.8,0.21888342684251252,0.05672475015645052,0.14508426841348404,0.0952247185632586,0.2915730308741331
1.0,0.15024227456306105,0.03275326508436181,0.110112358815968,0.09185393108054993,0.1707865176722407
