rep,clean_benefit,weak_benefit,mid_benefit,full_benefit,clean_interaction,weak_interaction
1400,0.01236096024513239,0.021647096797823895,0.02839925959706302,0.022203335911035516,0.009842375665903125,0.0005562391132116207
1401,0.044499397277831976,0.04882571250200268,0.04389678239822381,0.014771319553256057,-0.02972807772457592,-0.034054392948746626
1402,0.05315208435058594,0.04102286845445635,-0.04006489142775538,-0.05134425014257432,-0.10449633449316026,-0.09236711859703067
1403,0.034610629081726074,0.036063043773174264,0.045889985561370916,0.012870828807354018,-0.021739800274372056,-0.023192214965820246
1404,-0.03955501317977905,-0.03947774916887292,0.01546662822365763,0.06503399126231674,0.10458900444209579,0.10451174043118966
1405,0.08652657270431519,0.09113102704286569,0.0829882591962815,0.026112486980855443,-0.06041408572345974,-0.06501854006201024
1406,-0.004944384098053034,-0.0015296675264835913,0.01821693405508995,0.03294190764427185,0.037886291742324885,0.03447157517075544
1407,0.09517925977706909,0.1015451185405255,0.0743201434612274,0.0374690992757678,-0.05771016050130129,-0.0640760192647577
1408,0.037082821130752563,0.03955500423908237,0.039585914462804794,-0.008312731981277466,-0.04539555311203003,-0.047867736220359836
1409,-0.07292953133583074,-0.07368664853274826,-0.017351669073104925,0.04474660269916053,0.11767613403499128,0.11843325123190879
1410,0.0012360811233520508,0.011959207803010963,0.054542653262615204,0.0661310203373432,0.06489493921399114,0.05417181253433223
1411,-0.06180471181869507,-0.07435105666518221,-0.020210136845707827,0.07334672585129748,0.13515143766999255,0.1476977825164797
1412,0.1087762713432312,0.10063349753618245,0.05670581012964249,-0.0008498122915625572,-0.10962608363479376,-0.101483309827745
1413,0.030902326107025146,0.03427070528268816,0.03147404566407197,0.023084052279591538,-0.007818273827433608,-0.011186653003096625
1414,0.0012360811233520508,0.005531518906354949,0.013442525267601035,0.00995055362582209,0.008714472502470039,0.004419034719467141
1415,-0.025958001613616943,-0.021430781111121178,-0.017011743038892746,0.00814276747405529,0.034100769087672234,0.029573548585176468
1416,0.08405435085296631,0.09901112727820871,0.11285538002848616,0.0494901115074754,-0.03456423934549091,-0.04952101577073331
1417,0.04202723503112793,0.047852288186550074,0.052611245214939206,0.037469097226858206,-0.004558137804269724,-0.010383190959691868
1418,0.04697155952453613,0.04111557155847556,0.002008653432130747,-0.021121755614876725,-0.06809331513941286,-0.062237327173352286
1419,0.12608161568641668,0.11823238208889969,0.05789555273950098,0.006644002720713693,-0.11943761296570299,-0.111588379368186
1420,0.07416564226150513,0.06577565148472792,0.043417795747518584,0.026050678268074945,-0.04811496399343018,-0.03972497321665297
1421,-0.042027175426483154,-0.041996292769908905,-0.014014215767383598,0.017197159677743934,0.05922433510422709,0.05919345244765284
1422,0.04326328635215759,0.03308096528053284,-0.018278741464018866,0.009208898618817296,-0.0340543877333403,-0.02387206666171554
1423,-0.018541395664215088,-0.012283683568239168,0.0009116183966398905,0.02272868119180199,0.04127007685601708,0.03501236476004116
1424,0.07169348001480103,0.0738102585077286,0.058760817348957106,0.030083436518907603,-0.04161004349589342,-0.043726821988820996
1425,-0.0037082433700561523,-0.00579419210553167,0.019082204252481527,0.032323857024312064,0.036032100394368216,0.038118049129843734
1426,-0.04573547840118408,-0.041733620688319206,-0.05767923220992088,0.000015449710190296173,0.04575092811137438,0.0417490703985095
1427,0.1483312845230103,0.15400185510516173,0.1590080339461566,0.06393695995211601,-0.0843943245708943,-0.09006489515304572
1428,0.1112484335899353,0.11316439881920815,0.042289864271879196,0.009255254268646207,-0.1019931793212891,-0.10390914455056194
1429,0.0927070677280426,0.09252163283526899,0.10601050928235062,0.06551297530531885,-0.027194092422723748,-0.02700865752995013
