alpha,shared_loss_hard_mean_accuracy,nuisance_loss_hard_mean_accuracy,accuracy_mismatch
0.1,0.5376067423820496,0.4193370784819126,0.11826966390013705
0.15,0.5376067423820496,0.4153820221126079,0.12222472026944176
0.2,0.5376067423820496,0.40748876437544823,0.1301179780066014
0.25,0.5376067423820496,0.3964943820610642,0.14111236032098545
0.3,0.5376067423820496,0.38155056126415726,0.15605618111789238
0.35,0.5376067423820496,0.3627359552308917,0.17487078715115795
0.4,0.5376067423820496,0.34174157373607156,0.19586516864597808
0.45,0.5376067423820496,0.3192921348474919,0.21831460753455773
0.5,0.5376067423820496,0.2943988767638802,0.24320786561816943
0.55,0.5376067423820496,0.26726404538378123,0.2703426969982684
0.6,0.5376067423820496,0.24039325876161452,0.2972134836204351
0.65,0.5376067423820496,0.2155337082780897,0.32207303410395993
0.7,0.5376067423820496,0.19348314592614768,0.34412359645590196
0.75,0.5376067423820496,0.17343820202164345,0.3641685403604062
0.8,0.5376067423820496,0.15517415720038108,0.38243258518166856
0.85,0.5376067423820496,0.13896629205904895,0.39864045032300066
0.9,0.5376067423820496,0.12484269622713325,0.4127640461549164
