analysis,n,mean,se,ci95_low,ci95_high,p_one_sided,positive_pairs
registered_low_minus_high,30,0.001167881944444438,0.0004071004094117774,0.0003352681197911116,0.0020004957690977643,0.0038040836995690873,22
posthoc_low_minus_q6,30,0.0009682291666666606,0.0004575465336932204,3.244143330221672e-05,0.0019040169000311045,0.021519192523639902,20
