q,coverage_ratio,n,mean_delta_mean_test,se_delta_mean_test,mean_delta_standardized_rep_eff_rank,se_delta_standardized_rep_eff_rank,mean_delta_rep_eff_rank,se_delta_rep_eff_rank,mean_delta_selected_pairwise_novelty,se_delta_selected_pairwise_novelty,mean_delta_p10_test,se_delta_p10_test,mean_delta_min_test,se_delta_min_test,mean_delta_clean_test,se_delta_clean_test
2,0.125,30,0.026127341557294133,0.004349215521192072,-0.000578296722983455,0.2328380868220878,0.3138166004399804,0.11614263836747186,0.28040988430380825,0.006829208574178844,0.018741573890050253,0.0066074350480946386,0.018651684621969863,0.012202351540192485,0.019475655754407246,0.01065219028738072
4,0.25,30,0.024430712064107275,0.00411456902675216,0.08150513857331305,0.17665032867703284,0.17638912612694987,0.09532118798571447,0.1376569434464909,0.00395795542850139,0.024816481570402785,0.005767230633341213,0.00861422518889109,0.008805495372661759,0.01797752777735393,0.00897648787765861
8,0.5,30,0.021563669877747695,0.002450242909071932,0.08498963825756457,0.13206003488963924,0.14305939085343025,0.05941714588143143,0.06146072514044743,0.0017390521215019466,0.027475656668345127,0.0033027875581781957,0.022771530350049345,0.005732509791817869,0.0003745347261428907,0.0057782462840176765
12,0.75,30,0.008846442059924213,0.0017014549745844208,0.08634814126285952,0.08155796413609545,0.13415946041059032,0.04382871573072018,0.023837714338054258,0.0007853196925768247,0.00872659544150034,0.0024765108244034577,0.013033711413542436,0.004371828088698188,0.011011227965354928,0.004546194799487717
16,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
