rep,max_param_div,min_param_div,parameter_diversity_diff
1600,3.95134166223761,3.4828714183826035,0.46847024385500635
1601,3.904971192935656,3.433794250626702,0.47117694230895424
1602,3.9110547771961293,3.399623522672569,0.5114312545235604
1603,3.9803419844717567,3.5146694562705507,0.46567252820120597
1604,4.030830486213834,3.4193892699325636,0.6114412162812708
1605,3.9844874765744875,3.4852386945716027,0.4992487820028848
1606,4.084094663255408,3.5024470503073033,0.581647612948105
1607,3.9421497074333254,3.464375740696037,0.47777396673728845
1608,3.9213298295220858,3.493288987415153,0.42804084210693283
1609,3.9390731094751006,3.4347319692878577,0.5043411401872429
1610,3.993042130915414,3.4543404583716084,0.5387016725438056
1611,3.9008404337843503,3.3926824324688676,0.5081580013154827
1612,4.0187957168313195,3.5143281619812585,0.504467554850061
1613,3.949535146844714,3.5223235076872497,0.4272116391574645
1614,3.94776840336189,3.475081999734762,0.4726864036271281
1615,3.968552788951695,3.5025464158171147,0.46600637313458027
1616,3.953970931901644,3.4448523878183144,0.5091185440833295
1617,3.9913839663722186,3.50069725921024,0.4906867071619785
1618,4.009850917846956,3.438068299311829,0.5717826185351269
1619,3.9978530282450797,3.4911536278688415,0.5066994003762382
1620,4.008935995305192,3.5501762486764505,0.45875974662874164
1621,3.924795309905634,3.3830436661122576,0.5417516437933765
1622,3.893094986374547,3.535610449811268,0.35748453656327905
1623,3.9400883153655384,3.5026130901104073,0.43747522525513105
1624,3.99205527560472,3.447630116358183,0.5444251592465372
1625,4.019173036691738,3.557410713630297,0.46176232306144094
1626,3.9986872176483432,3.466178769005949,0.5325084486423943
1627,4.023259426495555,3.4896289112313026,0.5336305152642522
1628,3.991805997506771,3.5257158076207014,0.46609018988606943
1629,3.9523349310528553,3.520088073861479,0.43224685719137623
