rep,u_mean_test_benefit,m_mean_test_benefit,u_gradient_gap,m_gradient_gap,u_translation_gap,m_translation_gap
2200,0.036928305961191676,0.006149566173553445,0.20896118607488462,0.10858115372247994,0.7818403519801431,0.030725002433663707
2201,0.0806705789640546,0.03227750211954117,0.19485566325602122,0.09161456533474847,0.8321657956575794,0.012918556455549405
2202,0.055114338733255885,0.028800994344055697,0.23592932462925092,0.10868539977818728,0.6789248915211294,0.007905006464583716
2203,-0.0022095158696173733,0.08949320334941152,0.19946231973590328,0.09940524250851013,0.7962615648043022,0.03264148225331611
2204,0.03322002291679388,0.007911001890897662,0.18357679265900514,0.0965979496424552,0.764558586296096,0.04785584785859124
2205,0.023995669558644295,0.030052530020475365,0.23088379388209432,0.11469815694727004,0.6751472778272036,0.008347433564405623
2206,0.015621133521199204,0.04488566312938935,0.18099117294186726,0.082716268976219,0.7252472488084325,0.013857436953258856
2207,0.0979449920356274,0.06926761604845527,0.2099161873164121,0.1086485673324205,0.786582065896141,0.02377918742803667
2208,0.060923982411623,0.043665018863976,0.18826498866546898,0.09660773846553639,0.7191923085969933,-0.006361381842286925
2209,0.0032138442620635033,0.051097031123936154,0.1908416871272493,0.09470597800100222,0.7757151860543143,0.04345633839359925
2210,-0.006056861579418205,0.01985475979745388,0.19927471110131592,0.09412662490503862,0.811180908405051,0.026380885445368908
2211,0.010568600520491633,0.04317058101296428,0.1984108993492555,0.09983826428069734,0.6919830711891263,0.02078754849015784
2212,0.045101979747414644,-0.009286153130233288,0.22471523369895294,0.10241924207657575,0.7511310033787508,0.03200661396825054
2213,-0.000988873653113842,0.03685105275362732,0.17967765282519393,0.09394267233437859,0.6528236226939587,0.01979446116158849
2214,0.006628556177020073,-0.028059335984289613,0.2086811255197972,0.09079944647382945,0.7152140684577732,0.00829040952665213
2215,0.02666872218251226,-0.0038318892940878424,0.20236618563067169,0.10113394423387945,0.8009578498855916,0.016833973502579577
2216,0.06800062023103237,0.007509270310401939,0.22547032181173562,0.1103703162749298,0.843888919001955,0.01758293506474693
2217,0.04168726950883861,0.006953028216957979,0.20381629933253861,0.1016512883186806,0.7124412189732705,0.031247485528940744
2218,0.008436344005167462,-0.033961684256792024,0.22783365682698786,0.11540400756057352,0.7871761043421778,0.02416131129057376
2219,0.024521014094352755,0.03054697159677744,0.19748080968856813,0.10305648231878876,0.784578564221284,0.028704304964716654
2220,0.011928307265043236,0.034610627964138996,0.20380488155642523,0.09977990437764675,0.7807113984666532,0.0287811714157647
2221,0.0025030896067619324,-0.03697465974837544,0.197016449959483,0.10712767271324992,0.6828547279915165,0.0008999203551364979
2222,0.02762669902294873,0.021569838374853156,0.20920317959971726,0.09822466353652999,0.8131548482996974,0.024410851793599274
2223,0.019792957417666956,0.07384116165339943,0.1941483824281022,0.10353812836110592,0.7037986652247101,0.031665239847390496
2224,0.08383806943893435,0.006520396284758978,0.21216257722117007,0.09252928427886217,0.6994415893091116,0.041671731190737075
2225,-0.0014369547367095725,-0.024644619412720226,0.20974593791179358,0.09791327050188556,0.7197444157230346,0.010166090677378793
2226,0.03595488220453258,0.030531516298651695,0.20969146182760595,0.11375860930420459,0.8401392136495376,-0.006652097482070992
2227,0.0332972826436162,0.04749691244214771,0.21573899678187444,0.09287803928600624,0.8882416629421138,0.03396231033489744
2228,0.05451174750924109,-0.01262360978871585,0.22789843510836363,0.11127799818059429,0.8039823103472831,0.03277930589069779
2229,0.023238564096391245,-0.001498768478631951,0.2243567135592457,0.09632403886062094,0.8089158725535504,0.01602848413622996
