task,n,mean_test_loss,mean_test_gradnov,mean_test_delta,mean_test_p,p10_test_loss,p10_test_gradnov,p10_test_delta,p10_test_p,min_test_loss,min_test_gradnov,min_test_delta,min_test_p,grad_eff_rank_loss,grad_eff_rank_gradnov,grad_eff_rank_delta,grad_eff_rank_p,rep_eff_rank_loss,rep_eff_rank_gradnov,rep_eff_rank_delta,rep_eff_rank_p,margin_mean_loss,margin_mean_gradnov,margin_mean_delta,margin_mean_p,feature_invariance_loss,feature_invariance_gradnov,feature_invariance_delta,feature_invariance_p,param_displacement_loss,param_displacement_gradnov,param_displacement_delta,param_displacement_p,head_path_len_loss,head_path_len_gradnov,head_path_len_delta,head_path_len_p,diversity_to_rep_conversion
digits_geometric,20,0.5052317416109144,0.5491741576604545,0.043942416049540044,1.1174775572485186e-07,0.39017977252602576,0.42944944158196446,0.03926966905593873,5.682005711930336e-05,0.2686516858637333,0.29561797678470614,0.02696629092097283,0.013827044072808534,20.05725916380529,20.879833453765563,0.8225742899602715,8.425684309273902e-05,11.773615700358276,12.227914163363312,0.45429846300503546,9.357693209274187e-06,0.22691953312605614,0.37624228522181513,0.1493227520957589,1.777210634425835e-08,0.6844040751457214,0.6833692014217376,-0.0010348737239837646,0.7610242362424231,11.381117963790894,13.189041233062744,1.8079232692718505,3.33534484979393e-17,0.3299299899414182,0.29504490809142586,-0.03488508184999227,4.682217997609006e-11,0.5522886729501078
synthetic,20,0.8577200519666075,0.8586100257188083,0.0008899737522006124,4.40202908371396e-05,0.8388593766093255,0.8407916644215584,0.001932287812232969,0.0001738944165736204,0.817395830154419,0.8190104186534881,0.0016145884990692138,0.04730597802328739,37.553037792289004,43.78414708821289,6.2311092959238845,4.1444346008560037e-19,34.40648093812763,34.519360895771435,0.1128799576437924,4.674797735689113e-05,3.0008283257484436,3.023513674736023,0.02268534898757941,2.3292256870840742e-07,0.9602096050977706,0.960150146484375,-5.945861339574088e-05,0.0051006119722060185,8.863889598846436,8.873460531234741,0.009570932388305664,0.009513746126729925,0.1969414076082408,0.18626692806780337,-0.010674479540437438,6.770396041126865e-18,0.018115547695116415
breast_low,20,0.9583735367283225,0.9587755845114587,0.00040204778313635556,0.013880930121979232,0.947865508198738,0.9484210640192032,0.0005555558204651034,0.34581577930518737,0.9368421077728272,0.9377192974090576,0.0008771896362304854,0.37926329417821303,6.3518859770784095,9.713671345432974,3.361785368354565,8.632459486167954e-20,3.7455525157914784,3.580159675471472,-0.16539284032000626,2.3759388017564326e-12,9.038867330551147,9.691507959365845,0.6526406288146975,1.606949407228676e-17,0.9908796817064285,0.9911538541316987,0.0002741724252700639,3.599714479703951e-11,3.7152411103248597,3.8173428654670714,0.10210175514221195,1.1128550918932713e-15,0.06391414414462629,0.0535611538838362,-0.010352990260790099,2.0982595792042025e-21,-0.0491979178316664
breast_high,20,0.9369298269599676,0.9365862604230644,-0.000343566536903378,0.28137383087891105,0.9147075960040093,0.9145029196143151,-0.00020467638969416945,0.8057510448216534,0.8909356713294982,0.8865497171878814,-0.0043859541416168156,0.056337241005107806,5.3423241044266305,12.489916228844796,7.147592124418166,1.7202570589774935e-22,5.129286964428412,4.767804856402508,-0.361482108025904,6.968226484750211e-10,6.303080677986145,7.237801337242127,0.9347206592559812,2.628760313150178e-18,0.9363975495100021,0.9398386180400848,0.003441068530082708,1.0612406387647513e-16,3.456418991088867,3.6292807817459107,0.1728617906570435,9.596518829455894e-18,0.08830001380098979,0.055356040734518296,-0.0329439730664715,9.098217063101156e-25,-0.0505739697696208
