method,mean_test,sd_test,p10_test,min_test,clean_test,beta_mean,beta_final,selected_pair_cos,selected_loss
adaptive0.15,0.5449396070465445,0.09076100535491219,0.4259101125597954,0.2924719095230103,0.4882022485136986,2.848408062874629,1.484305973972042,0.16504193672844847,1.7665383581072092
adaptive0.20,0.5359719110280275,0.08629059556237892,0.4209550558030605,0.2870786532759666,0.4808988764882088,1.8704391845336918,0.7373426308837938,0.1883778722556357,1.7862980756163598
beta0,0.48677668613381686,0.0861819871622981,0.3763370786607265,0.2589887633919716,0.44483145922422407,0.0,0.0,0.40947067447748847,1.91202949129045
beta1.5,0.544418540019542,0.08983256347978527,0.42612359672784805,0.29033707976341244,0.4911235973238945,1.5,1.5,0.18355949156257334,1.7860318008065224
beta3,0.5577289326116442,0.0976653383066263,0.42844943881034847,0.2865168541669846,0.48797753155231477,3.0,3.0,0.1542991905176609,1.7467964521050454
