rep,pool,gradnov_minus_loss_hard,gradnov_minus_anchor_random,gradnov_minus_sham_gradnov
5000,0,0.010166872682323858,0.018788627935723112,0.028337453646477218
5001,0,0.02575710754017302,0.005886897404202784,-0.0061495673671200235
5002,0,-0.0057632880098886785,0.013272558714462313,0.04629171817058103
5003,0,-0.02541718170580959,-0.051560568603213786,-0.03967861557478364
5004,0,0.00010815822002480102,-0.037793572311495605,0.002920271940667629
5005,0,0.051344252163164406,0.03014524103831895,0.035738566131025995
5006,0,0.015343016069221282,0.0284610630407911,0.02419653893695939
5007,0,-0.014369592088998684,-0.05190049443757716,0.0024258343634117052
5008,0,0.03359085290482089,-0.022095179233621698,0.04497836835599511
5009,0,0.05001545117428918,0.053831891223732886,0.04157911001236092
5010,0,0.009749690976514236,0.022852286773794805,0.022682323856613174
5011,0,0.0055469715698391875,-0.02733312731767612,-0.00021631644004938
5012,0,0.05185414091470947,0.04315512978986408,0.024876390605685916
5013,0,-0.018989493201483354,-0.07248145859085287,-0.006025957972805918
5014,0,0.02458281829419029,-0.007045735475896264,0.0188195302843015
5015,0,0.062175525339925874,0.011665636588380712,0.00046353522867736974
5016,0,0.032941903584672416,0.03224660074165642,0.04763597033374534
5017,0,0.05916254635352297,-0.024536464771322652,0.023501236093943167
5018,0,0.023284919653893732,-0.016254635352286773,0.019762051915945655
5019,0,0.023578491965389414,0.0006798516687268608,-0.008158220024721885
5020,1,0.026344252163164494,0.012963535228677325,0.09848578491965387
5021,1,0.03488875154511745,-0.015899258343634037,0.02113720642768846
5022,1,0.015219406674907288,0.007957354758961643,0.029573547589616722
5023,1,0.02415018541409153,-0.016919035846724273,0.03804079110012365
5024,1,0.06639369592089,-0.0023640296662545968,0.03402348578491965
5025,1,0.01762978986402952,0.04799134734239796,0.01469406674907281
5026,1,0.045271940667490684,-0.007555624227441271,0.041841779975278104
5027,1,0.022234239802224942,-0.0010661310259579837,0.043124227441285634
5028,1,0.05106613102595803,-0.051622373300370894,0.06025957972805934
5029,1,0.018510506798516735,0.037113720642768966,-0.029959826946847845
5030,1,0.07625154511742893,-0.007741038318912263,0.018495055624227374
5031,1,0.029619901112484526,-0.018000618046971673,-0.004650803461063002
5032,1,0.019854758961681096,0.00046353522867742525,0.002163164400494466
5033,1,0.024057478368356033,0.03612484548825712,0.028136588380716976
5034,1,0.015528430160692164,0.0347033374536464,0.011897404202719342
5035,1,0.014431396786155681,0.008189122373300384,0.03909147095179222
5036,1,-0.005222496909765173,0.047203337453646466,0.006257725587144769
5037,1,0.04690976514215084,0.028322002472187857,0.01514215080346104
5038,1,0.052286773794808505,0.004156365883807189,0.004666254635352307
5039,1,0.01529666254635359,0.020998145859085382,0.0207354758961682
5040,2,0.03770086526576011,0.038720642768850455,0.017274412855376897
5041,2,0.06509579728059345,0.014755871446229918,0.05699938195302856
5042,2,0.019715698393077852,0.02229604449938194,0.030639678615574817
5043,2,0.030886897404202696,0.03913782447466008,0.06389060568603222
5044,2,0.020951792336217634,0.0056551297898640995,0.03131953028430162
5045,2,0.009672435105067989,0.031582200247218695,0.01055315203955498
5046,2,0.01755253399258344,0.00276576019777508,0.017166254635352263
5047,2,0.050216316440049424,0.03382262051915941,0.0733312731767613
5048,2,0.012438195302842958,0.017784301606922126,0.00460444993819531
5049,2,0.00733930778739178,-0.005902348578492034,-0.01195920889987645
5050,2,0.030469715698393074,0.016347342398022158,0.03878244746600723
5051,2,0.02204882571075406,0.00344561186650183,0.0103677379480841
5052,2,0.013875154511742871,-0.014184177997527692,0.005871446229913535
5053,2,0.12815203955500615,0.05321384425216302,0.022342398022249577
5054,2,0.04504017305315211,0.011835599505562344,0.03620210135970331
5055,2,0.030624227441285512,-0.009301606922126227,0.006211372064276854
5056,2,0.030516069221260822,0.01538936959208903,0.021538936959208832
5057,2,0.01194375772558709,0.033050061804697106,0.017861557478368262
5058,2,-0.0020395550061805268,-0.04324783683559952,-0.033899876390605765
5059,2,-0.004573547589616811,0.02404202719406673,0.0059332509270704215
