family,kind,coordinate,n,mean,se,ci95_low_descriptive,ci95_high_descriptive
u,mean,angle,30,0.024166577745033273,0.012948363085629005,-0.002315798254792039,0.05064895374485859
u,mean,dx,30,-0.007473056859665565,0.014449147602779967,-0.03702488184042184,0.022078768121090712
u,mean,dy,30,0.08173724196396011,0.010848464591486105,0.05954964060982568,0.10392484331809454
u,mean,blur,30,0.03706268225675956,0.011372949541502838,0.01380238873599842,0.060322975777520695
u,mean,contrast,30,-0.0609695338180378,0.010283396896867261,-0.08200144197332618,-0.039937625662749415
u,mean,brightness,30,-0.07381692434991743,0.011439981408777559,-0.09721431343259634,-0.05041953526723853
u,mean,noise,30,0.1264182606226487,0.010838522876178355,0.10425099235935531,0.14858552888594206
u,var,angle,30,0.043676288077840346,0.0158809954320826,0.011196005473570955,0.07615657068210974
u,var,dx,30,0.44173395195328985,0.013397760295728181,0.41433245545827796,0.46913544844830174
u,var,dy,30,0.3191992251299928,0.017932373157875676,0.28252340399372067,0.355875046266265
u,var,blur,30,-0.20046916839173018,0.0070409269036349805,-0.21486948080313406,-0.1860688559803263
u,var,contrast,30,-0.2490652963120745,0.011896907679616498,-0.27339720454814237,-0.22473338807600665
u,var,brightness,30,-0.137063108820025,0.010584020102627295,-0.15870986046684676,-0.11541635717320325
u,var,noise,30,-0.22532630878278095,0.010953920692682952,-0.2477295920810269,-0.202923025484535
m,mean,angle,30,0.032142034510539194,0.010618430789975422,0.010424905105946888,0.0538591639151315
m,mean,dx,30,0.04009501097655324,0.007797194088040925,0.024147958502230074,0.05604206345087641
m,mean,dy,30,-0.010198734394428565,0.009509438139339445,-0.029647719157032855,0.009250250368175722
m,mean,blur,30,0.02723171164746317,0.007291864291113524,0.01231817465286882,0.042145248642057515
m,mean,contrast,30,-0.00584265141118605,0.009402792580017989,-0.025073521514664278,0.013388218692292175
m,mean,brightness,30,-0.032393107244139685,0.010439032244588862,-0.05374332542595191,-0.01104288906232746
m,mean,noise,30,0.017968875821777586,0.010283107376845868,-0.003062440198581047,0.03900019184213622
m,var,angle,30,0.20255544956178662,0.011288734942087682,0.17946739423604968,0.22564350488752355
m,var,dx,30,0.06387289972159119,0.010494736854224411,0.04240875282094891,0.08533704662223346
m,var,dy,30,-0.042051971486056036,0.010762076179665498,-0.0640628886995982,-0.020041054272513882
m,var,blur,30,-0.07706742496019703,0.008329256550520733,-0.09410266735425002,-0.06003218256614404
m,var,contrast,30,-0.062107493665436296,0.008889391287030854,-0.08028834022618797,-0.043926647104684614
m,var,brightness,30,-0.011933927774599807,0.008940709206972994,-0.030219731266389743,0.006351875717190132
m,var,noise,30,-0.09118764599123809,0.009108318987826644,-0.10981624997514128,-0.0725590420073349
