method,mean_test,sd_test,p10_test,min_test,clean_test,beta_mean,selected_pair_cos,selected_loss,target_cos,c0,c5
beta0,0.49833707882091405,0.08778633030101839,0.3832808977365494,0.25067415907979007,0.46314606815576553,0.0,0.40487985446117813,1.9006418170779944,,,
beta1.5,0.5463132030516863,0.08996476763603643,0.4313820220530033,0.2912359558045864,0.4762921318411827,1.5,0.17917900391339567,1.7746333387494087,,,
beta3,0.5532233143039048,0.09376690373662114,0.43021348297595974,0.29404494464397424,0.4822471931576729,3.0,0.14893162778292204,1.7372170592844487,,,
relative0.15,0.5445884825848043,0.09280182352538105,0.41910112649202347,0.28988764137029643,0.4796629220247269,1.8107812500000002,0.17784382101797286,1.7704566467553378,0.19064716125577066,0.38300548048522615,0.15670157550939617
relative0.30,0.5349227530136704,0.0920308318005177,0.4174943825602531,0.28101123645901677,0.47247190922498705,1.3790625,0.2112698775249282,1.7969621682912114,0.22764223994658,0.37789506511478976,0.16324817201734726
