caliper,n_steps,feasible_steps,feasibility_rate,mean_gradient_gap_feasible,mean_abs_hardness_diff_feasible,mean_abs_parameter_z_diff_feasible
0.05,800,800,1.0,0.19949181886273437,0.025187599107505676,0.02558418203034025
0.1,800,800,1.0,0.24593343424377964,0.051765956132898784,0.04984830953212269
0.15,800,800,1.0,0.2656170223519439,0.07614365242827653,0.07390948045436595
0.2,800,800,1.0,0.2801131432078546,0.10489365785938283,0.10148887340941329
0.3,800,800,1.0,0.296825583447353,0.15471627630365933,0.15641070192926176
