method,mean_test_mean,mean_test_std,sd_test_mean,sd_test_std,p10_test_mean,p10_test_std,min_test_mean,min_test_std,clean_test_mean,clean_test_std,train_seconds_mean,train_seconds_std,env_forwards_mean,env_forwards_std
grad16,0.5264564612880349,0.017408141843020655,0.08827561813304578,0.013987260165694019,0.4119213454425335,0.021774814559032917,0.2888764038681984,0.0468347039693401,0.46191011369228363,0.05351938677796623,0.3071295261383057,0.01877701180354559,1280.0,0.0
learned_pred8,0.5205589891504496,0.01765917830600477,0.09807684462069557,0.010837140973967216,0.3920674178004265,0.028863490871034573,0.24089887812733646,0.039650429570622016,0.451348315179348,0.041674559752759945,0.20014512538909907,0.013192853087233879,640.0,0.0
learned_top7_8,0.5272205055691301,0.02160594651499298,0.09686513316209303,0.010102149834577375,0.39964044809341426,0.02821336790125092,0.2624719128012657,0.0340225838451434,0.4541573032736778,0.03628544798573673,0.19831722974777216,0.008786418493774947,640.0,0.0
oracle7_8,0.526623596418649,0.01517806816403378,0.09400076408980323,0.011691370667911557,0.4010112366080284,0.02550219430979943,0.2689887627959251,0.03635276523895005,0.4467415750026703,0.057341509153499164,0.20017188787460327,0.015468481602484324,640.0,0.0
random8,0.5117724721692503,0.01529743772319641,0.10198306741500877,0.012513056382350932,0.37439325913786886,0.02261203913095706,0.2414606727659702,0.034293937679077166,0.44932584315538404,0.033151133641913466,0.19106173515319821,0.010264355105589944,640.0,0.0
raw64_8,0.5087331456318498,0.016996851655366116,0.09621828788721834,0.012269705869473659,0.37853932574391363,0.021466259553237287,0.2683146059513092,0.03577274587415331,0.4271910101175308,0.06903207464200015,0.19797464609146115,0.008071186867480193,640.0,0.0
