q,coverage_ratio,n,mean_delta_mean_test,se_delta_mean_test,p_one_sided_delta_mean_test,mean_delta_clean_test,se_delta_clean_test,p_one_sided_delta_clean_test,mean_delta_p10_test,se_delta_p10_test,p_one_sided_delta_p10_test,mean_delta_min_test,se_delta_min_test,p_one_sided_delta_min_test,mean_delta_sd_test,se_delta_sd_test,p_one_sided_delta_sd_test,mean_delta_selected_pairwise_novelty,se_delta_selected_pairwise_novelty,p_one_sided_delta_selected_pairwise_novelty,mean_delta_mean_selected_loss,se_delta_mean_selected_loss,p_one_sided_delta_mean_selected_loss,mean_delta_mean_candidate_loss,se_delta_mean_candidate_loss,p_one_sided_delta_mean_candidate_loss,positive_mean_pairs
2,0.125,30,0.02034456107144553,0.0042033453672353,1.9779564265199386e-05,0.013061385353406276,0.012419576982797081,0.1508162620882373,0.015220439483722042,0.007299017665482699,0.022977553773181263,0.013761847217877703,0.008880582287313246,0.06603481568057708,0.002851063220213651,0.0036221588317117293,0.21879958497831206,0.30948294376333557,0.007082160128326713,2.5422993087147265e-28,-0.05461009209354722,0.004822573266687301,0.9999999999981712,-0.053420623888572,0.0059349798448866935,0.999999999660303,24
4,0.25,30,0.020731355845928185,0.005023522692900573,0.0001415969759602734,0.00589204728603363,0.011540886881900414,0.3067699792409637,0.021227855434020348,0.00595760916886731,0.000645372155814495,0.012649360299110408,0.009018138754790307,0.0856672010882943,0.0005630925614142843,0.0035098252268489774,0.43682607856189626,0.1475241082781092,0.004252715969244918,1.8193270718058405e-25,-0.051153206229209956,0.00372297288189602,0.9999999999999842,-0.043503708243370014,0.004296947107702661,0.9999999999750865,24
8,0.5,30,0.011949938181787733,0.004413376248415423,0.005621017071841262,0.01668726901213328,0.0074954130163241445,0.016961049131526892,0.01596209496259689,0.005772213619280373,0.004893180282758908,0.017593737443288165,0.007826654099576861,0.016176853880483687,-0.003276596486442248,0.0029853348761560935,0.8592875682442572,0.0546455963647653,0.00346381739858934,4.53929382805138e-16,-0.03324957529703773,0.004126340564532868,0.9999999965387781,-0.024363311976194294,0.004343195542547797,0.9999976641456897,21
12,0.75,30,0.015777194046725826,0.0031754035890311006,1.3841303302787749e-05,0.006633696953455607,0.00561481757558583,0.12350869706606077,0.011915946106115995,0.0038830177105285283,0.0023145393220764094,0.005768438676993057,0.004272647772976963,0.09371624818511552,0.0037884103295022452,0.002483148319399014,0.06896541443840457,0.023247041559855755,0.002513867548469792,1.8876340188369067e-10,-0.028796945760647456,0.002453207413683578,0.9999999999992277,-0.02025939931472144,0.0024721037548292263,0.9999999975492255,24
16,1.0,30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0
