rep,g_mean_test_benefit,t_mean_test_benefit,g_gradient_gap,t_translation_gap,g_hardness_diff,g_parameter_z_diff,t_hardness_diff,t_parameter_z_diff
1900,0.02793572098016739,0.06239183992147446,0.19180226052412763,1.1411644660574105,-0.0013812961039071918,-0.00016683365999960192,-0.0031510495223876977,0.0019135215795479566
1901,0.028291098400950343,-0.004511741921305656,0.20997929377481342,1.200985047103491,-0.0031844066215438137,0.0003664073163325983,0.0018502394936662676,0.0018624197892942403
1902,0.013473428040742863,0.03059332519769664,0.2263225425966084,1.1263022916809855,-0.000985777569525663,-0.0010007373854479759,-0.005593146583684945,0.0046950213217581225
1903,0.02645241077989341,-0.024536466412246216,0.1822787077340763,1.1585762100215073,0.0016585094062020356,0.0029340665350692774,0.002768358937955574,0.0023803077010477853
1904,0.1092088993638754,0.08366811294108628,0.2229557293758262,1.1943325124443882,-0.0009900871216411366,-0.0012744910684884896,0.0038045009889550556,0.0017107000514867108
1905,0.01004326585680243,-0.044607538357377075,0.1877572088036686,1.0962966952632434,-0.0006889818247862577,-0.0008076666637213117,0.003603815194740756,-0.002208307421669259
1906,0.0474814604967832,-0.042969714291393735,0.22413958378019744,1.1972883499586502,-0.006339624270483383,0.0005648257622448644,-0.001961959981194368,-0.0005568518404440777
1907,0.0185105057433248,0.03660383354872465,0.20428291606949642,1.1772807860603325,0.0020934724215746882,-0.0022471783392467187,0.004038844627697,-0.000729528874362028
1908,0.06029048468917608,0.036093942448496785,0.20301524038659408,1.1382325613224595,0.0017644875635004255,0.004257290682823856,0.0003597872190454918,0.0056138968503262054
1909,0.029434486478567168,0.008266379684209846,0.204081754834624,1.1079104702023506,-0.0012254082083150181,0.006394997697975582,-0.0036340249602495886,0.00630362776761501
1910,0.026776886545121725,0.014245978929102454,0.20195801780791953,1.0802610549110974,0.0011529536802689414,0.006261902947980093,-0.002479127064090941,0.003394464333736957
1911,-0.0029048219323158375,0.03121137470006946,0.2045300216996111,1.1858619717178494,0.002152652110186548,0.007596050323974248,0.0007301340645720376,0.005446134180601527
1912,0.05016996264457707,0.0026885064318775687,0.2170770919881761,1.1517935027758741,-0.0057158816488504585,0.0019521282432250794,-0.0029232135199236385,0.008689362923819352
1913,0.06962299514561893,0.02651421297341583,0.22844326989725233,1.1053552911548978,0.0022276034610775155,0.0006520550395492814,-0.002563762145921854,0.0008682166515525499
1914,0.027966628968715657,0.011851049587130569,0.20817228058585896,1.2506286652169019,0.0019288914539477703,0.009781467855940335,-0.0006525006752279517,-8.351323789696401e-05
1915,0.04035847019404171,0.04247527830302722,0.1903283634892432,1.0983598462264736,0.004654370755001887,0.003846197146447971,0.0006911526930723034,-0.0018719449476477877
1916,0.07594252042472366,0.04797589983791106,0.21406169704278,1.1756313655460815,0.008240844933163826,0.0015836888711773661,0.003523702932908427,0.0026494191810991405
1917,0.04706427361816168,0.065775647573173,0.22701735860900954,1.2094654883316713,-0.0002381056594350693,-0.009741272326360767,0.00853654754320195,-0.005500029782131441
1918,0.03113411515951159,0.0011124845594168153,0.217028068768559,1.1900797938052574,-0.004173303858571054,0.00036950807769608497,-0.0026729604068564507,0.0011913308818344134
1919,0.04966007396578792,0.0027657605707646082,0.21902978913858534,1.1375532737409286,-0.0004919144313446776,0.0018309934721524941,0.004564832992073829,-0.0019559968968454254
1920,0.050602594949305024,-0.00738566033542154,0.20291197559563443,1.178343265528044,-0.001009116681229489,0.0021847015208320145,0.0015659378012824244,-0.0013022693180502816
1921,0.013983313925564289,0.006350426934659481,0.20178494511637837,1.136926403064717,-0.002804790202886687,0.002128824046821592,-0.0018406327438669594,-0.006885270591798001
1922,0.06056860294193034,0.06968479547649625,0.21025064387358725,1.1613378804311014,-0.004370512210665577,0.0016830438462574076,-0.003937957278525202,0.0008097247057699481
1923,0.007771940715611048,0.028306549228727884,0.1999951669946313,1.1722028031463183,-0.000785039516825703,0.0014910372179608906,0.007223767296267033,0.004255647753418086
1924,0.06518850419670341,0.0374690992757678,0.19540896126418375,1.1293099414466121,-0.0030536262765071174,0.0016652297080495377,-0.0022465203300915115,0.0002586602081918078
1925,0.0075401702895760425,-0.00985784810036422,0.20363388758851214,1.0979691276242516,-0.004485557738506627,8.067873839549041e-05,-0.0024666819256054934,0.004355330513682559
1926,0.03368356022983793,0.006922126375138782,0.22013240034575574,1.2345712484927793,0.0016795144072805704,-0.0011701563851706522,0.0005057810396217527,-0.00024354340841873664
1927,0.041733621805906285,0.009826945699751344,0.1844597190618515,1.1118990800835555,-0.003730624482145195,0.0043147894540198125,0.003351798643162206,0.0025257810739668265
1928,0.06925216130912304,0.03167490791529415,0.2257607960840687,1.1159081147425634,0.0005999977441446716,-0.0038956613376839636,0.0021424407569889045,0.004314441760513707
1929,0.01837144717574124,-0.030006179586052895,0.2264016509638168,1.0739041503854048,-0.0006889680665311815,0.004516484674519692,0.004987231085472233,0.007307199629240656
