alpha,shared_loss_hard_mean_accuracy,nuisance_loss_hard_mean_accuracy,accuracy_mismatch
0.0,0.5147640462964774,0.4539325773715973,0.06083146892488012
0.01,0.5147640462964774,0.4525337092578411,0.062230337038636285
0.02,0.5147640462964774,0.4510505620762705,0.0637134842202069
0.03,0.5147640462964774,0.4499943822622299,0.0647696640342475
0.04,0.5147640462964774,0.44928089901804924,0.06548314727842816
0.05,0.5147640462964774,0.4485955050587654,0.06616854123771204
0.06,0.5147640462964774,0.4474550560116768,0.06730899028480058
0.07,0.5147640462964774,0.44664044957607985,0.06812359672039753
0.08,0.5147640462964774,0.4456629212573171,0.06910112503916033
0.09,0.5147640462964774,0.44451685398817063,0.07024719230830679
0.1,0.5147640462964774,0.4431404496729374,0.07162359662354001
