alpha,gamma,structured_novelty_gain,nuisance_novelty_gain,novelty_mismatch,structured_candidate_loss,nuisance_candidate_loss,candidate_loss_mismatch,calibration_score
0.6,0.3,0.14891692967154085,0.10244732577819375,0.0464696038933471,1.6824315506964918,1.599684652611613,0.08274689808487867,2.3764557772936903
0.6,0.4,0.14891692967154085,0.09066662484779957,0.058250304823741286,1.6824315506964918,1.7430504964292048,0.06061894573271309,2.547866284785174
0.5,0.5,0.14891692967154085,0.07708598396508023,0.07183094570646062,1.6824315506964918,1.6422885210812095,0.040143029615282266,2.7957951530348435
0.55,0.4,0.14891692967154085,0.0881923503987491,0.06072457927279175,1.6824315506964918,1.5898112214729192,0.09262032922357255,2.950355934662117
0.55,0.5,0.14891692967154085,0.07990709988633173,0.06900982978520913,1.6824315506964918,1.775038492679596,0.09260694198310415,3.2263970793380126
0.6,0.2,0.14891692967154085,0.10556132475845517,0.04335560491308568,1.6824315506964918,1.4861140139773488,0.19631753671914298,3.4083621976276195
0.6,0.1,0.14891692967154085,0.11665706420317293,0.032259865468367926,1.6824315506964918,1.3945702761039136,0.28786127459257815,3.953941594871379
0.55,0.3,0.14891692967154085,0.10446799621451645,0.0444489334570244,1.6824315506964918,1.4307590557262302,0.25167249497026156,3.9983560649367624
0.45,0.5,0.14891692967154085,0.06923723116749896,0.0796796985040419,1.6824315506964918,1.5199198147654533,0.1625117359310384,4.2811073094451135
0.5,0.4,0.14891692967154085,0.09059943206608297,0.05831749760545789,1.6824315506964918,1.446315998621285,0.23611555207520674,4.3050721076006635
0.6,0.5,0.14891692967154085,0.07814006365835667,0.07077686601318418,1.6824315506964918,1.9153426615893838,0.23291111089289207,4.68833997603506
0.6,0.0,0.14891692967154085,0.11356613352894787,0.03535079614259298,1.6824315506964918,1.3215245566517113,0.36090699404478044,4.78742981186757
0.55,0.2,0.14891692967154085,0.1007268479373306,0.04819008173421026,1.6824315506964918,1.3133568853512405,0.36907466534525124,5.297082711259521
0.5,0.3,0.14891692967154085,0.09648444846738129,0.05243248120415957,1.6824315506964918,1.2858717031776905,0.39655984751880125,5.713347848659998
0.55,0.1,0.14891692967154085,0.11564493094570938,0.033271998725831475,1.6824315506964918,1.2191691888496279,0.46326236184686387,5.741690242663021
0.45,0.4,0.14891692967154085,0.08859482900006702,0.06032210067147384,1.6824315506964918,1.3031502235308288,0.379281327165663,5.803549960705758
0.5,0.2,0.14891692967154085,0.11034105136059229,0.038575878310948566,1.6824315506964918,1.158536518923938,0.5238950317725537,6.524812928090489
0.55,0.0,0.14891692967154085,0.10809975590556864,0.040817173765972214,1.6824315506964918,1.14390561055392,0.5385259401425717,6.7458318602914575
0.45,0.3,0.14891692967154085,0.10514631441794338,0.043770615253597475,1.6824315506964918,1.1457039928436277,0.5367275578528641,6.826296086981889
0.5,0.1,0.14891692967154085,0.10279545335099102,0.04612147632054983,1.6824315506964918,1.0663508130609989,0.6160807376354929,7.698189920373256
0.5,0.0,0.14891692967154085,0.11541781303472817,0.03349911663681268,1.6824315506964918,0.9861262240819633,0.6963053266145285,8.079690487372375
0.45,0.2,0.14891692967154085,0.09154687416274096,0.057370055508799894,1.6824315506964918,1.0307005695067346,0.6517309811897571,8.429644995524235
0.45,0.1,0.14891692967154085,0.11116792007349434,0.037749009598046515,1.6824315506964918,0.9315606977976859,0.7508708528988058,8.767008848922941
0.45,0.0,0.14891692967154085,0.11568949074484407,0.03322743892669679,1.6824315506964918,0.853933979999274,0.8284975706972177,9.392557004528737
