rep,gradient_gap,hardness_diff,parameter_z_diff,mean_abs_parameter_z_diff,raw_parameter_diversity_diff,raw_selected_loss_diff,schedule_overlap
1800,0.21818324506166387,-0.00579129155874715,0.001339207578651669,0.025232256211335707,0.0008451682864804037,-0.0008438512682914622,0.50625
1801,0.2038867662340635,-0.0030983604151101564,0.004182975614728501,0.027124384256759206,0.001759493156651925,-0.00016455650329589444,0.46875
1802,0.2122020176844671,-0.0012451064365212722,0.0018618250271898924,0.02387346482375217,0.0007627536929582962,-7.289201021194699e-05,0.45
1803,0.2222054277779534,-0.0008967507627281962,0.000935079320975804,0.022889840639203664,0.00029867560908186105,-6.437599658966055e-05,0.475
1804,0.19464320037513969,-0.0007941983842182473,0.0040194195851078526,0.027646998627360524,0.0014708332978321695,-0.0001690477132797245,0.471875
1805,0.20238896235823628,-0.0012374489303287736,-0.0010947282941475562,0.025816220727609022,-0.0001020669503802558,8.021444082261131e-05,0.4625
1806,0.2068309886148199,-0.005347267463094527,0.010584862321511,0.02442777719405664,0.0038065382038487785,-0.0007639810442924388,0.465625
1807,0.20038789891405026,0.0012930181547575325,0.0032353146038304774,0.025394472758553173,0.0013511971325667837,0.00028011947870254213,0.459375
1808,0.20010801972239273,-0.00015031075414242496,-0.0065954996451471955,0.02346150049804849,-0.0023113196109730122,-0.0002692192792892394,0.475
1809,0.18104899741592814,-0.0046038782887879515,0.0027076335374287075,0.02477316958774839,0.0010253599784985786,-0.00023289918899535925,0.4875
1810,0.21332547087222334,-0.003122319530350329,0.008103063288533208,0.026485526738178704,0.00277902875994234,-0.0004697546362876868,0.465625
1811,0.20663242941373022,0.004380594317561269,0.002202503687129815,0.02659333064380113,0.000933757681476341,0.000385569036006911,0.46875
1812,0.21130901063443158,0.001198953836297955,0.0011186177166110363,0.03023221288445226,0.0003400292814990725,0.00018073618412017643,0.465625
1813,0.1919378278427757,-0.001193713245424925,-0.008932242334321766,0.025364241001248188,-0.003055193112086984,4.231929779049243e-06,0.496875
1814,0.19541294338414442,-0.0004351185002083388,-0.0031242560768733776,0.025052064252853213,-0.0010122951009328724,0.00020531713962555214,0.465625
1815,0.23587020713603118,-0.0017014410750925038,0.000720387228773466,0.023198719019275428,0.0001225176977628612,-2.929717302322e-05,0.446875
1816,0.20670704472577195,0.0024834173322894116,0.00508302800372263,0.024655891963669067,0.0014794100836186838,0.00025109052658081523,0.459375
1817,0.19161707103485237,0.00012301122722216358,-0.000162766385543385,0.026697593510266376,-0.00011274154903349629,3.5673379898070645e-05,0.46875
1818,0.21174354816321278,0.000585306716476717,0.004088978313474668,0.02340341137406011,0.001656945341727505,8.162260055542073e-05,0.45
1819,0.19156624521710908,-0.001944768371339211,-0.0024039713416511383,0.02465457449835947,-0.00027147041845486917,-0.00011380165815352834,0.43125
1820,0.2098578986129723,-0.005250780380999831,-0.0013572431462698725,0.024870744137805507,-0.0002577431672644506,-0.0005234539508819434,0.4375
1821,0.2050608018180355,0.004296488866383024,0.0014119958954412189,0.024397244152968543,0.0003050631198440462,0.0008229970932006713,0.446875
1822,0.20658729610149745,-0.005665243176295862,0.0007800541359603598,0.024458731836820395,0.00018930279273176323,-0.000727111101150494,0.4625
1823,0.17608470003469845,0.0016287007543843996,0.0025155956017972486,0.025428794983963054,0.0011411564824480675,0.00011477619409561565,0.475
1824,0.20355869694612916,-0.0067601663691042365,0.000638545124619886,0.02481960852943135,0.0003302492596853413,-0.0006636932492256063,0.453125
1825,0.20019532851874824,-0.005914819658400295,-0.0006266936737773721,0.024609151756115905,-0.00033753427803646376,-0.0004246190190315165,0.453125
1826,0.19894771993858734,-0.004814810217699547,-0.0017487309324501301,0.024558695196505498,-0.00086351780533759,-0.0003720790147781267,0.4625
1827,0.20554119423031803,0.0009694836113265003,0.005785160002448437,0.023809499928925445,0.0020528525219459443,0.0001501634716987549,0.490625
1828,0.1888366704341024,-0.006433270804993384,0.0025408360157800724,0.027419218491954257,0.0008235436037850076,-0.0007866218686103695,0.475
1829,0.20671472459798673,0.007864467930519965,-0.0022430045985178523,0.027169539312842904,-0.0007601241271221239,0.0005078703165054296,0.465625
