rep,clean_benefit,mid_benefit,full_benefit,interaction
1300,-0.021978020668029785,-0.05511676296591761,0.012603021040558826,0.03458104170858861
1301,-0.03021976351737976,-0.03873626925051221,0.008619505539536387,0.03883926905691615
1302,0.03846153616905207,0.04876373410224921,0.013633240759372667,-0.024828295409679402
1303,-0.12637361884117126,-0.11995192319154746,0.02671703435480599,0.15309065319597726
1304,-0.052197813987731934,-0.05624999925494201,0.031387364678084784,0.08358517866581672
1305,0.06318679451942444,0.11528159081935874,0.04986263327300544,-0.013324161246418997
1306,-0.024725258350372314,-0.005116754770278953,0.03870192598551503,0.06342718433588734
1307,-0.03571432828903204,-0.020741757377982117,0.02606456056237222,0.06177888885140426
1308,-0.013736248016357422,-0.0013049419969319853,0.023145605064928576,0.036881853081286
1309,0.06043955683708191,0.07177197895944126,0.05422390289604667,-0.006215653941035237
1310,-0.05494505167007441,-0.08203983083367355,0.021978019922971825,0.07692307159304623
1311,-0.09890112280845642,-0.06445741690695284,0.0427884597331285,0.14168958254158492
1312,-0.016483515501022394,-0.027266484871506624,0.007967031747102726,0.02445054724812512
1313,0.010989010334014893,0.016792582347989082,0.01521291397511959,0.004223903641104698
1314,0.008241772651672363,0.00456730052828791,0.020226650126278445,0.011984877474606082
1315,-0.038461536169052124,-0.028708791360259056,0.0006181281059980392,0.03907966427505016
1316,0.01923078298568731,0.04467720203101633,0.0192994510754943,0.00006866808980698913
1317,0.049450576305389404,0.04378434158861644,0.0326236275956035,-0.016826948709785905
1318,-0.010989010334014837,0.017582418769598096,0.03382554445415731,0.044814554788172145
1319,-0.03296703100204468,-0.05752060189843178,0.029361263290047623,0.0623282942920923
1320,0.0,-0.06078296713531017,0.009890111535787671,0.009890111535787671
1321,-0.010989010334014893,0.01988324373960504,0.03224588036537179,0.043234890699386685
1322,-0.08516481518745422,-0.09615384638309488,0.006490386649966151,0.09165520183742037
1323,0.01373627781867981,0.011538460105657511,0.011298074200749353,-0.0024382036179304567
1324,0.005494505167007502,-0.0075892854481934835,-0.01771977990865703,-0.02321428507566453
1325,0.016483515501022283,-0.008344779163598992,0.011435440182685941,-0.0050480753183363425
1326,0.0824175477027893,0.03207417204976082,0.01140110027045016,-0.07101644743233915
1327,0.038461536169052124,0.035302200168371156,0.016380494274199076,-0.02208104189485305
1328,0.08516481518745428,0.10484203770756723,0.06298076659440993,-0.022184048593044348
1329,-0.027472496032714844,-0.06109202839434147,0.0288461524993181,0.056318648532032944
