strength,loss_hard_mean,gradnov_mean,n,mean,se,ci95_low,ci95_high,p_one_sided
0.0,0.4790292998154958,0.47271061937014264,30,-0.0063186804453531885,0.009160176497174797,-0.025053344944542394,0.012415984053836017,0.752098012734927
0.1,0.49507440338532127,0.4867296226695181,30,-0.0083447807158033,0.0096669662258853,-0.02811594659047962,0.011426385158873021,0.802451867392352
0.5,0.5791288917760054,0.5716517858331401,30,-0.0074771059428652125,0.010315279865029486,-0.028574222089718146,0.01362001020398772,0.7628259991730304
1.0,0.5061675830992559,0.5289045334607363,30,0.022736950361480317,0.0030623347909277425,0.016473772472940643,0.02900012825001999,1.7535281131771405e-08
