rep,family,novelty_gain,candidate_loss_level,selected_loss_level
500,structured,0.14618084151297805,1.7843684762716294,1.90288692265749
500,unstructured,0.01689015133306382,1.4796782836318014,1.5582235164940357
501,structured,0.13743483312427995,1.7655514426529408,1.8855239875614642
501,unstructured,0.011925375275313899,1.4710438013076783,1.550646785646677
502,structured,0.1327832212671637,1.7721204102039336,1.8910479851067066
502,unstructured,0.017922604503110007,1.4538145780563354,1.5346175216138365
503,structured,0.11584638506174094,1.7425288394093514,1.8652318388223648
503,unstructured,0.012486340152099706,1.4630885191261769,1.5428209505975246
504,structured,0.12004337105900054,1.7535079643130302,1.8677488267421722
504,unstructured,0.011835030093789112,1.4759365171194077,1.5547258786857125
505,structured,0.0899043917655945,1.7121737234294414,1.8436915412545205
505,unstructured,0.011253264639526583,1.4679142281413078,1.5493317060172558
506,structured,0.10152763267979026,1.7618710897862913,1.893341886997223
506,unstructured,0.019802250014618106,1.453866894543171,1.5341237202286722
507,structured,0.10370655488222846,1.7409978620707989,1.8671250022947787
507,unstructured,0.019511873554438397,1.476287741214037,1.555067126452923
508,structured,0.1267608974128962,1.7424956001341343,1.8627424165606499
508,unstructured,0.010054973978549292,1.4646112717688085,1.5439607940614224
509,structured,0.08877368094399574,1.7582520179450514,1.8773023866117002
509,unstructured,0.016869385866448205,1.4732210516929627,1.553561654686928
510,structured,0.11786037255078552,1.7331606902182104,1.8589973084628584
510,unstructured,0.014852668717503514,1.4608116075396538,1.5376953154802322
511,structured,0.11142592076212166,1.779833944886923,1.8988217018544673
511,unstructured,0.0160334039945155,1.473104465007782,1.5558007411658763
512,structured,0.10531690120697024,1.695147975534201,1.8202562905848025
512,unstructured,0.011221144581213677,1.461332270503044,1.538338343799114
513,structured,0.1270762180909515,1.7155538029968738,1.8425740525126457
513,unstructured,0.015556979831308104,1.45406172350049,1.532255471497774
514,structured,0.10658291522413488,1.7207969136536119,1.8450979307293895
514,unstructured,0.013894489500671625,1.4482276812195778,1.5282243996858598
515,structured,0.12623393610119826,1.7410484470427037,1.8646012373268608
515,unstructured,0.014952721493318694,1.4620350129902362,1.5379149615764618
516,structured,0.07767122946679594,1.7268694028258325,1.8433162957429885
516,unstructured,0.021125799277797286,1.4550127774477004,1.5349846817553043
517,structured,0.14022791069000962,1.7322163060307503,1.8536137968301776
517,unstructured,0.019024552870541778,1.448365032672882,1.5312820352613925
518,structured,0.10960144689306617,1.7556316629052162,1.8762305617332458
518,unstructured,0.01753688063472511,1.4757347844541073,1.553683640807867
519,structured,0.1002290908247232,1.7360891334712507,1.8585077352821826
519,unstructured,0.019655930204316996,1.4673594787716864,1.5444649688899514
520,structured,0.09171514324843888,1.7719444923102854,1.886387350410223
520,unstructured,0.0162895556539297,1.458080316334963,1.5400702841579914
521,structured,0.1542386712506414,1.7625344671308993,1.8768697902560236
521,unstructured,0.0132134921383113,1.4708897732198238,1.5478972911834716
522,structured,0.10372884739190347,1.7687491133809088,1.8909994147717955
522,unstructured,0.019566393690183703,1.4692212991416456,1.547644443064928
523,structured,0.12968335021287203,1.7086431682109833,1.8322368204593658
523,unstructured,0.009882091730833098,1.4584009759128094,1.5384318381547928
524,structured,0.11477878065779812,1.7480884179472924,1.8663959614932537
524,unstructured,0.016894424660131302,1.459893709421158,1.538556383550167
525,structured,0.10523327793925996,1.7550401024520397,1.87859233468771
525,unstructured,0.016514722630381506,1.4593123286962508,1.540475568920374
526,structured,0.17676364975050096,1.7319227851927281,1.8480357691645621
526,unstructured,0.030300283897668118,1.4577426716685296,1.5348160438239575
527,structured,0.09917712099850173,1.7226494945585724,1.8487803652882575
527,unstructured,0.01773006538860497,1.446956303715706,1.527298332005739
528,structured,0.10464685279875985,1.734678704291582,1.8582561649382117
528,unstructured,0.018811670318245932,1.4509979598224163,1.5295261159539222
529,structured,0.1275143403559923,1.760137964040041,1.8808775909245012
529,unstructured,0.018455202225595713,1.4585007473826406,1.537439350783825
