stage,method,cos_mean,relerr_mean,proj_mean,cos_tail,relerr_tail,proj_tail,selected_loss
0,gradnov4,0.9415967384974162,0.35361163318157196,1.0099547882874806,0.9643426140149435,0.2707546855012576,1.0076363424460093,2.3135683139165244
0,loss4,0.9225435932477315,0.41172608484824497,1.0076127509276072,0.9560863415400187,0.3050319934884707,1.0177172621091206,2.314219037691752
0,nearest_ref4,0.9734768092632293,0.24293469389279684,1.036402799685796,0.9524003903071085,0.3097849388917287,0.9871495127677917,2.3067281007766725
0,paramnov4,0.929883348941803,0.3861477757493655,0.9963270803292592,0.958704404036204,0.29209879140059153,1.0008463303248087,2.3137260278066
0,random4,0.9589139223098755,0.29004836479822793,0.9955240567525228,0.9438237369060516,0.327715128660202,0.9544447243213654,2.3069406509399415
2,gradnov4,0.8538961152235667,0.6657719890276591,1.0378894786039987,0.8997134725252788,0.5153508991003036,0.9858638266722362,2.0732857386271157
2,loss4,0.796102300286293,0.898041895031929,1.126096115509669,0.8739873150984446,0.6568978284796079,1.1166625301043192,2.0972442428270974
2,nearest_ref4,0.9142097373803456,0.6042643894751867,1.242172118028005,0.8473691562811534,0.6347213303049405,1.027779573202133,1.8135906219482423
2,paramnov4,0.8183522363503773,0.8228062202533086,1.1037442624568938,0.8916179180145264,0.5889604906241099,1.086755096912384,2.0916327158610026
2,random4,0.8405365725358327,0.6467097729444504,1.0046261807282766,0.7904778291781743,0.6628058383862178,0.8696731088062127,1.8833480874697368
5,gradnov4,0.7976230382919312,0.8386262993017832,1.0929202397664388,0.8405927995840708,0.6471361031134923,0.9946558892726898,1.9709131240844726
5,loss4,0.7591630091269811,1.0971965750058492,1.2369583308696748,0.8236222942670186,0.816091408332189,1.1471586346626281,2.006220455964406
5,nearest_ref4,0.8804416060447693,0.8889221419890722,1.4221110105514527,0.8519104818503062,0.76457093556722,1.1875145077705382,1.5851152936617534
5,paramnov4,0.7727342844009399,0.9658298055330913,1.161972274382909,0.8358381847540538,0.7111361583073934,1.0745467483997344,1.99215829372406
5,random4,0.7832591672738393,0.7598655194044113,0.9860709617535274,0.7419995966056983,0.7235741744438807,0.8218945819884539,1.6401639461517334
8,gradnov4,0.7860290765762329,0.8437746336062749,1.0728725334008535,0.8153156300385793,0.6629102170467377,0.9294732431570689,1.831383474667867
8,loss4,0.7478457798560461,1.1969003518422445,1.2932828982671103,0.8026135871807735,0.8879212578137715,1.1513016949097314,1.8792505582173666
8,nearest_ref4,0.8677455008029937,0.9460060397783915,1.4204171339670817,0.8404161930084229,0.7720386435588201,1.142915572722753,1.4479264497756958
8,paramnov4,0.7603725502888362,1.0107639193534852,1.1664356589317322,0.807038077712059,0.7586406519015634,1.0278822918732962,1.8617566307385762
8,random4,0.7765722453594208,0.857801632086436,1.053986704349518,0.7400188157955806,0.7638996591170629,0.8381118615468343,1.5137011369069417
