method,mean_test,sd_test,p10_test,min_test,clean_test,train_seconds,base_mean,base_clean
gradnov4,0.424515,0.011489,0.410635,0.396383,0.443167,219.920915,0.352803,0.424167
loss4,0.423135,0.011484,0.409202,0.394483,0.442433,222.524219,0.352803,0.424167
