rep,delta_rep_eff_rank,delta_mean_test,delta_p10_test,delta_min_test,delta_clean_test
40,0.02837038121311597,-0.00010416666666668295,-0.0017999999999999683,0.0010000000000000009,0.00033333333333340764
41,0.008783421097156463,0.0011458333333332904,0.0006666666666667043,0.006000000000000005,0.003666666666666596
42,0.06618268897219792,-0.000791666666666635,-0.004066666666666774,-0.008000000000000007,0.003666666666666707
43,-0.11929260432958344,0.003562499999999913,0.006300000000000028,0.00933333333333336,-0.003666666666666707
44,0.019155683764731535,7.291666666658925e-05,-0.0009666666666666157,-0.0009999999999998899,-0.0016666666666667052
45,0.035090776851222305,0.001281249999999956,0.004500000000000004,-0.0016666666666666496,0.004666666666666597
46,0.11364764940322925,0.00548958333333327,0.008933333333333404,0.0030000000000000027,0.005666666666666598
47,0.09921096172232291,0.004677083333333276,0.010233333333333372,0.007000000000000006,0.0040000000000000036
48,0.017193295673063602,0.0013854166666665835,0.0023333333333332984,0.0023333333333332984,0.0023333333333332984
49,0.052163009734846,0.00031249999999999334,0.0013333333333332975,-0.0020000000000000018,-0.0010000000000000009
