rep,method,train_seconds,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,base_clean,base_mean,mean_test,sd_test,p10_test,min_test,clean_test
7,loss4,238.4919984340668,10,2,6000,3000,8,4,0.4186666666666667,0.3305833333333333,0.4011354166666666,0.0153096730438529,0.3814666666666667,0.3576666666666667,0.4156666666666667
8,gradnov4,218.4893174171448,10,2,6000,3000,8,4,0.411,0.3518125,0.4135833333333333,0.0119832619227088,0.3977,0.3843333333333333,0.4443333333333333
8,loss4,223.36292433738708,10,2,6000,3000,8,4,0.411,0.3518125,0.4166354166666666,0.0120591015836,0.4000666666666667,0.388,0.45
9,gradnov4,190.47128653526303,10,2,6000,3000,8,4,0.4146666666666667,0.3797604166666667,0.41834375,0.0082919334533186,0.4070333333333333,0.4036666666666667,0.4303333333333333
9,loss4,191.70606088638303,10,2,6000,3000,8,4,0.4146666666666667,0.3797604166666667,0.4143125,0.0093922630784474,0.4010666666666667,0.3963333333333333,0.428
10,gradnov4,236.5994434356689,10,2,6000,3000,8,4,0.403,0.3801041666666667,0.42603125,0.0075207523526453,0.4157,0.4093333333333333,0.434
10,loss4,239.5197734832764,10,2,6000,3000,8,4,0.403,0.3801041666666667,0.42434375,0.0070382897355418,0.4144666666666666,0.406,0.4396666666666666
11,gradnov4,245.76447367668152,10,2,6000,3000,8,4,0.4076666666666667,0.3388958333333333,0.4304375,0.0057917488583941,0.4227,0.4196666666666667,0.4396666666666666
11,loss4,247.72608947753903,10,2,6000,3000,8,4,0.4076666666666667,0.3388958333333333,0.4291770833333334,0.0053339948346485,0.4224,0.4166666666666667,0.439
12,gradnov4,223.30257058143616,10,2,6000,3000,8,4,0.4126666666666667,0.3044583333333333,0.4107083333333333,0.0124023786595866,0.3914666666666667,0.386,0.4426666666666666
12,loss4,226.2306702136993,10,2,6000,3000,8,4,0.4126666666666667,0.3044583333333333,0.4121770833333333,0.01110490361996,0.3946666666666666,0.387,0.447
13,gradnov4,187.05303835868835,10,2,6000,3000,8,4,0.4053333333333333,0.3739270833333333,0.4344375,0.0086507038684349,0.4274666666666666,0.408,0.4403333333333333
13,loss4,188.4510223865509,10,2,6000,3000,8,4,0.4053333333333333,0.3739270833333333,0.4321875,0.0088980435608885,0.4264,0.404,0.4446666666666666
14,gradnov4,216.34942531585693,10,2,6000,3000,8,4,0.4453333333333333,0.3487291666666666,0.42659375,0.0116038970017507,0.4136666666666667,0.4033333333333333,0.4586666666666666
14,loss4,223.28262639045715,10,2,6000,3000,8,4,0.4453333333333333,0.3487291666666666,0.4238333333333333,0.0106239062266449,0.4144,0.4013333333333333,0.4503333333333333
15,gradnov4,237.5184245109558,10,2,6000,3000,8,4,0.4223333333333333,0.37196875,0.4176875,0.011694417839386,0.4050666666666667,0.3963333333333333,0.4186666666666667
15,loss4,242.33276224136355,10,2,6000,3000,8,4,0.4223333333333333,0.37196875,0.4147916666666666,0.0116682794584168,0.3988,0.3943333333333333,0.4166666666666667
16,gradnov4,241.1392295360565,10,2,6000,3000,8,4,0.442,0.3462604166666666,0.4356041666666667,0.0141123087432395,0.4207,0.403,0.4606666666666666
16,loss4,244.46924591064453,10,2,6000,3000,8,4,0.442,0.3462604166666666,0.4345624999999999,0.0128819947419049,0.4180333333333333,0.4113333333333333,0.46
