method,mean_test,sd_test,p10_test,min_test,clean_test,beta_mean,selected_pair_cos,selected_loss,train_seconds
beta0,0.9576096480091413,0.007707592691720547,0.947056542634964,0.9368421077728272,0.9610136429468791,0.0,0.7506933248081589,0.10545703208337294,0.19396300315856935
beta1.5,0.9581725140164296,0.007582206051863936,0.947348941763242,0.9384015560150146,0.9606237808863322,1.5,0.5803200051779416,0.0964930684088696,0.19283758799235026
beta3,0.9583284592131773,0.007497643810645696,0.9475633660952251,0.9387914180755615,0.9602339148521424,3.0,0.5765585169066962,0.0948186429058911,0.19277977148691813
relative0.15,0.9581578939408063,0.007556735656960847,0.9476998178164163,0.938791420062383,0.9604288458824157,1.7260119047619047,0.5867536040269936,0.09628768826282579,0.5158576647440593
