g_caliper,supported_steps,total_steps,pooled_support,minimum_replicate_support,mean_span_gap_supported,minimum_replicate_mean_span_gap_supported,mean_abs_gradient_novelty_diff_supported,mean_abs_hardness_diff_supported,mean_abs_parameter_z_diff_supported,mean_abs_translation_diff_supported,pass
0.005,209,800,0.26125,0.2125,0.05844212447566159,0.02732388828142584,0.002521507902088704,0.027318162878269842,0.02681980921428723,0.09009547245349668,False
0.01,327,800,0.40875,0.35,0.07609301378043012,0.03254690608802652,0.0050882594994574055,0.025953395087280364,0.02600875287305036,0.09316235792098868,False
0.02,444,800,0.555,0.5,0.10153953205248809,0.07069756651860724,0.009638836592129591,0.02510901869882603,0.02624559790518672,0.09755837088319905,False
0.05,613,800,0.76625,0.7,0.15093269526742747,0.12092397434837142,0.022104093781786363,0.024196811509240943,0.025889377935327838,0.09734677499751111,False
