q,coverage_ratio,n,mean_delta_mean_test,se_delta_mean_test,mean_delta_rep_eff_rank,se_delta_rep_eff_rank,mean_delta_selected_pairwise_novelty,se_delta_selected_pairwise_novelty,mean_delta_p10_test,se_delta_p10_test,mean_delta_min_test,se_delta_min_test,mean_delta_clean_test,se_delta_clean_test
2,0.125,30,0.021513108145445596,0.0047876206306531775,0.062218313425251935,0.10157908839282681,0.2801601541042328,0.006536273330736626,0.023348310589790335,0.005066817222923116,0.025917604068915058,0.006925665299397903,0.024868914484977724,0.011817537176581194
4,0.25,30,0.025895131118595604,0.003051790285077108,0.19706810052958382,0.08252443572406419,0.13353215081617234,0.0028990533225311263,0.02917603294054668,0.004131945091061166,0.023670412103335054,0.005422381322730886,0.007565541068712865,0.00905854574426147
8,0.5,30,0.020764980874955652,0.0018262730846608061,0.21963664296327756,0.04667117299083632,0.05830965695281825,0.001732303735006978,0.020142320990562457,0.003994120550863701,0.016254683335622157,0.005463917172839286,0.014157300194104511,0.005666739215536183
12,0.75,30,0.006730336838712299,0.0016330513621921191,0.11219366566806599,0.04087398740934088,0.022978715226054193,0.0006326844788805765,0.004883893827597298,0.0031987967335348963,0.00029962559541065934,0.003301159394121219,0.013033709923426312,0.0036016344508449567
16,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
