rep,shared_benefit,nuisance_benefit,specificity_contrast
1100,0.04266854636371131,0.0425842665135861,8.427985012521289e-05
1101,-0.008314612135291,-0.009269664064049776,0.0009550519287587766
1102,0.053932580724358636,0.05567417331039903,-0.001741592586040397
1103,0.0026123598217964172,0.0030898787081242163,-0.00047751888632779904
1104,0.00036517009139069856,-0.003061789274215687,0.0034269593656063857
1105,-0.02039325945079329,-0.02238764166831969,0.0019943822175264025
1106,-0.029691014811396577,-0.031910109519958485,0.0022190947085619084
1107,0.0053370781242848,0.007443827763199851,-0.002106749638915051
1108,0.007050567492842719,0.009915733709931429,-0.0028651662170887104
1109,0.02508425675332554,0.02710673436522487,-0.0020224776118993315
1110,-0.0696629267185927,-0.07025280334055428,0.0005898766219615825
1111,-0.0005337063223123106,0.0007303468883037012,-0.0012640532106160118
1112,0.013033699616789796,0.013764034956693705,-0.0007303353399039092
1113,0.033230330422520715,0.0327528037130832,0.00047752670943751463
1114,0.04446628466248509,0.04275280460715286,0.0017134800553322282
1115,0.018230343982577335,0.017134841531515066,0.001095502451062269
1116,-0.014353934302926086,-0.010926964506506875,-0.0034269697964192103
1117,-0.045842709019780103,-0.04587078355252738,2.807453274727978e-05
1118,0.08193819597363472,0.08320224322378628,-0.0012640472501515565
1119,0.023595508560538325,0.02275280617177483,0.0008427023887634943
1120,0.005140434950590189,0.001769657805562097,0.003370777145028092
1121,0.013398895785212472,0.013286529853939966,0.00011236593127250671
1122,0.050449441373348225,0.048932591825723626,0.0015168495476245991
1123,-0.012612352892756473,-0.01162921413779261,-0.0009831387549638637
1124,0.007528097182512294,0.011573034897446599,-0.004044937714934305
1125,-0.0012640491127968168,-0.0002247266471386844,-0.0010393224656581324
1126,-0.053117974102497134,-0.05311798155307773,7.450580596923828e-09
1127,0.02764045596122744,0.0255617953836918,0.0020786605775356404
1128,-0.0014044936746359094,-0.004915720596909534,0.0035112269222736248
1129,0.03598313145339482,0.03601122125983236,-2.808980643753678e-05
