family,strength,disagreement,mean_nll
nuisance,0.005,0.003454588048237643,1.477584583411614
nuisance,0.05,0.03592368892025353,1.4968294503788153
nuisance,0.1,0.0744550560341061,1.5267317390441895
shared,0.0,0.0,1.4758618772029877
shared,0.01,0.003520131121234305,1.4687263338019452
shared,0.1,0.038135767540661565,1.407559756760796
shared,0.25,0.10699578627478326,1.319692306096355
shared,0.5,0.2575524343938256,1.226214144267142
shared,1.0,0.6018075842472415,1.4302602203190327
