q,coverage_ratio,n,positive_mean_pairs,mean_delta_mean_test,se_delta_mean_test,p_one_sided_delta_mean_test,mean_delta_clean_test,se_delta_clean_test,p_one_sided_delta_clean_test,mean_delta_p10_test,se_delta_p10_test,p_one_sided_delta_p10_test,mean_delta_min_test,se_delta_min_test,p_one_sided_delta_min_test,mean_delta_sd_test,se_delta_sd_test,p_one_sided_delta_sd_test,mean_delta_selected_pairwise_novelty,se_delta_selected_pairwise_novelty,p_one_sided_delta_selected_pairwise_novelty,mean_delta_mean_selected_loss,se_delta_mean_selected_loss,p_one_sided_delta_mean_selected_loss,mean_delta_mean_candidate_loss,se_delta_mean_candidate_loss,p_one_sided_delta_mean_candidate_loss
2,0.25,30,23,0.0019597222222222286,0.000575200891642269,0.0009722926277773678,0.0012555555555555469,0.0007396252776226811,0.050149819675753715,0.002251111111111104,0.0007788138692890755,0.003607085777610302,0.0036888888888888896,0.0008768242553657992,0.00011369002012891407,-0.0005244660649066033,0.0001846518888597518,0.9959213029315667,0.10039048976932013,0.004147575708191105,4.3979158506357354e-21,-0.010418603733076312,0.0007905715964210504,0.999999999999955,-0.0039830835998480914,0.000581950081808945,0.9999999190736648
4,0.5,30,21,0.0007753472222222279,0.00043646585817877417,0.04307855210811384,0.0014888888888888877,0.0008453513984154143,0.044367636988105606,0.0010522222222222341,0.0007147786470379396,0.07588275382556187,0.0005444444444444363,0.0008845896990793679,0.27152015652383793,-3.4040649097330165e-05,0.00017152533824918036,0.5779644265171582,0.032406315245130594,0.0015160699732906459,1.3436662302952366e-19,-0.0062803890265471065,0.0005928123745845764,0.9999999999912338,-0.0022213630219723407,0.0005087247472117922,0.9999266318131448
6,0.75,30,21,0.00039930555555555693,0.00019993883596722067,0.027635178244697862,0.0008888888888889002,0.0005458149924287375,0.0571122715806388,2.8888888888880157e-05,0.00027384371251615693,0.4583550478694611,0.0012555555555555597,0.0004151299888230958,0.002586373362810335,-0.00015623189695174321,0.00011842004621462408,0.9013049249358156,0.012466744371154855,0.0007832312287993161,3.5990773767634264e-16,-0.003538503334031895,0.00030662935284089566,0.9999999999988362,-0.0009030427915830197,0.00024110836334339847,0.999602516028222
8,1.0,30,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
