method,mean_test,sd_test,p10_test,min_test,clean_test,beta_mean,selected_pair_cos,selected_loss,train_seconds
beta0,0.9371686190615097,0.016416861997531822,0.9148732916514078,0.8916179358959198,0.9483430822690327,0.0,0.43112647114538827,0.17834197287979936,0.29821955362955727
beta1.5,0.9367495162288347,0.01672342829029632,0.9152631574869156,0.8881091713905335,0.9502924025058747,1.5,0.14407033498049887,0.15003814849381644,0.2983596404393514
beta3,0.9368469824890295,0.016676575097367394,0.9152046777804692,0.8892787575721741,0.9508771995703379,3.0,0.14459516867618646,0.14648660374234343,0.29783214728037516
relative0.15,0.9366252472003301,0.016593338707332865,0.913879138827324,0.8892787496248881,0.9510721226533254,1.6023214285714287,0.16858817271603108,0.15356188727221232,0.9268643140792847
