method,mean_test,sd_test,p10_test,min_test,clean_test
gradnov4,0.4226127604166666,0.011233338867373993,0.40842083333333334,0.39465833333333333,0.43981666666666663
loss4,0.4214065104166666,0.011375265786630045,0.40720833333333334,0.3927833333333333,0.4391583333333333
