eta,method,mean_loss_drop,tail_loss_drop
0.01,gradnov4,0.001393971840540568,0.0016835351785024007
0.01,loss4,0.0015727579593658447,0.0019846270481745404
0.01,paramnov4,0.001514732837677002,0.001884480317433675
0.01,random4,0.0013885915279388428,0.0015407353639602661
0.05,gradnov4,0.00675798753897349,0.008194661140441895
0.05,loss4,0.007550060749053955,0.009585564335187277
0.05,paramnov4,0.00728961726029714,0.009118486444155376
0.05,random4,0.0067305405934651695,0.007484270135561625
