rep,benefit_low,benefit_high,benefit_attenuation,rank_low,rank_high,rank_attenuation,benefit_slope_vs_coverage,rank_slope_vs_coverage
100,0.052626406401395764,0.009044944681227185,0.04358146172016858,0.7846763166611641,0.1466537645422008,0.6380225521189633,-0.06391066191036518,-0.9644286124685678
101,0.019241572450846456,-0.002907304000109412,0.022148876450955868,0.46670041132496287,0.1594316179655344,0.30726879335942847,-0.02168402291107466,-0.47077827326726973
102,0.020477525610476777,0.003047754708677519,-0.17753858839830183,-0.02071358921062405,-0.15682499918767778,-0.02644148699757535,0.00954125522614027
103,0.02698033517226575,0.003174155764281761,0.02380617940798399,0.06148424433511046,0.05583152693066218,0.005652717404448282,-0.030674156110461124,0.016548127559631354
104,0.016011236608028445,0.005674156825989485,0.01033707978203896,-0.05547894110225737,0.09310663083043469,-0.14858557193269206,-0.013720198620746797,0.2360365456580732
105,0.06887640263885264,0.00811797603964809,0.06075842659920455,0.6299205001026733,-0.04110039859299963,0.6710208986956729,-0.0845601529973309,-0.9968735711913103
106,0.03429775293916465,-0.0006179763004183769,0.03491572923958303,-0.11508619018834398,0.04818319782339575,-0.16326938801173974,-0.04620717894740218,0.17792673130778314
107,0.015294942166656278,-0.005505615752190329,0.020800557918846607,0.6266394323164084,0.0793176995275795,0.5473217327888289,-0.021477112691940303,-0.7483139208158434
108,0.014283707272261331,0.00925561776384709,0.005028089508414241,-0.32103046617411124,0.06888840004733954,-0.3899188662214508,-0.012576047676365491,0.6157786036151156
109,0.041671349946409475,0.0016151698306203222,0.04005618011578915,0.3549233206554092,0.1991498185291105,0.1557735021262987,-0.05708550401940573,-0.14540622959800217
110,0.033272472489625254,-0.002359549980610609,0.03563202247023586,-0.1362109212382654,0.08343993987026188,-0.21965086110852727,-0.05062893872580878,0.21024425114308506
111,-0.01782303182408218,0.0016292139887809642,-0.019452245812863145,-0.2607683109416312,-0.06420398624836743,-0.1965643246932638,0.028720195509675136,0.4147822322407844
112,0.0246769663877785,0.009283708687871706,0.015393257699906793,0.3461895866586424,0.071197772879799,0.2749918137788434,-0.021261989089046984,-0.39616218629926964
113,0.006446630507707579,0.0018679790198802837,0.0045786514878272955,0.3378907624249061,0.1106785861540569,0.22721217627084922,-0.004693066574087912,-0.471847308987145
114,0.04702247083187103,0.004803371336311091,0.042219099495559936,-0.21298360372090208,0.25735318918033734,-0.4703367929012394,-0.06068648700488774,0.48453396071534266
115,0.017359550669789336,-2.60770322002557e-09,0.017359553277492557,0.17735191041832543,0.07551657916317644,0.10183533125514899,-0.019662923474864275,-0.14211999175106413
116,0.004761236254125806,0.0017696639522910007,0.002991572301834805,-0.32752333199501127,-0.1201497218892964,-0.20737361010571487,-0.004958892241120305,0.3975386162218879
117,0.031039325240999505,0.0032303379848599434,0.02780898725613956,-0.14610918968206477,-0.1885801995290155,0.042471009846950736,-0.03954507853018079,0.08425388830743101
118,0.040856739319860974,0.006376404315233231,0.034480335004627743,0.6954724803698555,0.07696712661953065,0.6185053537503249,-0.055660452484721096,-0.9596380423617685
119,0.010084267333149904,0.00863763708621268,0.001446630246937225,0.1427914655606468,0.04254167565914635,0.10024978990150046,-0.004449163804330426,0.06364783798117943
120,0.01678370824083683,0.0029213475063443184,0.013862360734492513,0.18373731418392936,0.05075415312958853,0.13298316105434083,-0.0193916153253578,-0.06553166718201875
121,0.016432585008442385,0.00723314601927999,0.009199438989162395,-0.1503116074166515,0.04751462641684423,-0.19782623383349573,-0.020237051840962375,0.2201621786090238
122,0.005744380224496165,-0.002879213262349356,0.008623593486845521,-0.17108680376340946,0.017573629142860092,-0.18866043290626955,-0.008244721473353707,0.26280912845956167
123,0.01474719084799292,-0.0005758450366556978,0.015323035884648617,0.49876944399994283,0.1041136884765379,0.3946557555234049,-0.021153742692819506,-0.6271459189870157
124,0.020632022619247375,0.0022050547413527966,0.01842696787789458,-0.2502702764939464,0.22441267399447185,-0.47468295048841824,-0.03075774299298835,0.4520624661989094
125,0.021306179650127904,0.002443820610642411,0.018862359039485493,0.09511017983137471,0.029667042712571146,0.06544313711880356,-0.028352972865104673,0.0135604739859498
126,0.035070225596427945,0.005674155801534686,0.02939606979489326,0.38178994594965765,0.21578666862829898,0.16600327732135867,-0.03864346654495085,-0.3046909447456397
127,-0.0001685400493442457,0.005294943228363991,-0.0054634832777082365,-0.030763029683787302,-0.12662438443592539,0.09586135475213808,0.002946013039568513,-0.20207129457572676
128,0.042148876469582375,0.014143257960677114,0.02800561850890526,0.31968189071741016,-0.17415101935128963,0.4938329100686998,-0.04693477716206058,-0.5880872583940328
129,0.030969101935625104,-0.0016432583332061657,0.03261236026883127,0.1413282646108005,0.1603482760547692,-0.0190200114439687,-0.04038092765684534,-0.04921269501517584
