severity,structured_novelty_gain,nuisance_novelty_gain,novelty_gain_diff,structured_candidate_loss,nuisance_candidate_loss,candidate_loss_diff,structured_selected_loss,nuisance_selected_loss,calibration_score,eligible
0.9,0.122605,0.135638,0.013034,1.730328,0.633470,-1.096859,1.853571,0.693938,11.403046,False
1.2,0.122605,0.117902,-0.004703,1.730328,0.779197,-0.951131,1.853571,0.863035,9.668079,False
1.6,0.122605,0.112269,-0.010335,1.730328,1.004104,-0.726224,1.853571,1.113535,7.606760,False
2.0,0.122605,0.116755,-0.005849,1.730328,1.239931,-0.490397,1.853571,1.364859,5.098946,False
2.5,0.122605,0.110323,-0.012281,1.730328,1.481866,-0.248462,1.853571,1.606744,2.893995,False
3.0,0.122605,0.110025,-0.012579,1.730328,1.683264,-0.047065,1.853571,1.798152,0.889962,True
4.0,0.122605,0.099385,-0.023219,1.730328,1.952061,0.221733,1.853571,2.038220,2.991308,False
