endpoint,mean,se,margin,ci90_low,ci90_high,p_lower,p_upper,pass
hardness_diff,-0.0004391944985942638,0.0004975488507548836,0.05,-0.001284593197932568,0.0004062042007440404,1.2652515639083376e-38,7.612482358182579e-39,True
loss_variance_z_diff,-0.00012350688828802046,0.0005109252166650498,0.05,-0.0009916337324610894,0.0007446199558850484,2.2677914768516895e-38,1.9659129365017357e-38,True
parameter_z_diff,0.00015776503172417242,0.0006423136030876105,0.05,-0.0009336073707920962,0.001249137434240441,1.4344480074658577e-35,1.7210672426932515e-35,True
translation_diff,-0.0008254247593347441,0.0022877027163744523,0.2,-0.004712522273400672,0.0030616727547311835,6.198304449659013e-37,4.88308366783989e-37,True
gradient_novelty_diff,0.002507237327912037,0.00046663104801010643,0.05,0.0017143719028184156,0.0033001027530056588,3.721143073314996e-40,6.787994668942493e-39,True
