endpoint,mean,se,ci90_low,ci90_high,p_lower,p_upper,pass
g_hardness_diff,-0.0006063241519117474,0.0005729669889562423,-0.0015798678481588183,0.0003672195443353237,8.246954791889899e-37,4.0920926510843415e-37,True
g_parameter_z_diff,0.001538412400444203,0.0006700881998374014,0.00039984742993929537,0.0026769773709491105,2.2231231662689982e-35,1.3132227653468156e-34,True
t_hardness_diff,0.0006041778724352215,0.000646737536941826,-0.0004947113556563411,0.0017030671005267841,1.3540963972650954e-35,2.720291268946045e-35,True
t_parameter_z_diff,0.0016402650846413186,0.0006458026754763644,0.0005429643049317864,0.002737565864350851,7.234216528347944e-36,4.8102214069564734e-35,True
