rep,gradient_gap,hardness_diff,parameter_z_diff,heldout_benefit,clean_benefit
1800,0.21818324506166387,-0.00579129155874715,0.001339207578651669,0.0021786127239465936,-0.03337454795837402
1801,0.2038867662340635,-0.0030983604151101564,0.004182975614728501,0.028043879941105854,0.049443781375885065
1802,0.2122020176844671,-0.0012451064365212722,0.0018618250271898924,0.02379480823874469,-0.03337454795837402
1803,0.2222054277779534,-0.0008967507627281962,0.000935079320975804,0.03144313730299475,-0.006180465221404974
1804,0.19464320037513969,-0.0007941983842182473,0.0040194195851078526,0.06148022152483473,0.04449939727783203
1805,0.20238896235823628,-0.0012374489303287736,-0.0010947282941475562,0.009826947748660997,-0.05315202474594116
1806,0.2068309886148199,-0.005347267463094527,0.010584862321511,0.07215698696672923,0.1470952033996582
1807,0.20038789891405026,0.0012930181547575325,0.0032353146038304774,0.01594561114907267,0.02224969863891596
1808,0.20010801972239273,-0.00015031075414242496,-0.0065954996451471955,0.06753707937896258,0.06798511743545532
1809,0.18104899741592814,-0.0046038782887879515,0.0027076335374287075,0.03655747920274732,-0.05933251976966858
1810,0.21332547087222334,-0.003122319530350329,0.008103063288533208,0.04059023801237349,-0.0037083029747009277
1811,0.20663242941373022,0.004380594317561269,0.002202503687129815,-0.03274104036390779,-0.08034610748291016
1812,0.21130901063443158,0.001198953836297955,0.0011186177166110363,0.0673207689076662,-0.05191594362258911
1813,0.1919378278427757,-0.001193713245424925,-0.008932242334321766,0.03164400421082969,0.027194082736968994
1814,0.19541294338414442,-0.0004351185002083388,-0.0031242560768733776,0.0567521620541811,0.029666244983673096
1815,0.23587020713603118,-0.0017014410750925038,0.000720387228773466,0.06664091609418399,0.06922125816345215
1816,0.20670704472577195,0.0024834173322894116,0.00508302800372263,0.0656211376190185,-0.028430163860321045
1817,0.19161707103485237,0.00012301122722216358,-0.000162766385543385,0.054573546722531285,0.11866500973701477
1818,0.21174354816321278,0.000585306716476717,0.004088978313474668,0.05134425275027743,-0.037082791328430176
1819,0.19156624521710908,-0.001944768371339211,-0.0024039713416511383,-0.0029511738568543944,-0.11866500973701477
1820,0.2098578986129723,-0.005250780380999831,-0.0013572431462698725,0.014354139938950516,0.12113720178604126
1821,0.2050608018180355,0.004296488866383024,0.0014119958954412189,0.0372373266145587,-0.0037083029747009277
1822,0.20658729610149745,-0.005665243176295862,0.0007800541359603598,0.05675216391682625,0.09394311904907227
1823,0.17608470003469845,0.0016287007543843996,0.0025155956017972486,0.03875154238194228,0.09270700812339788
1824,0.20355869694612916,-0.0067601663691042365,0.000638545124619886,0.047852289676666326,-0.11619281768798834
1825,0.20019532851874824,-0.005914819658400295,-0.0006266936737773721,0.03946230169385673,0.0037083029747009277
1826,0.19894771993858734,-0.004814810217699547,-0.0017487309324501301,0.062499999441206544,-0.08776268362998962
1827,0.20554119423031803,0.0009694836113265003,0.005785160002448437,0.05735475923866029,0.019777536392211914
1828,0.1888366704341024,-0.006433270804993384,0.0025408360157800724,0.03677379414439208,0.10135972499847412
1829,0.20671472459798673,0.007864467930519965,-0.0022430045985178523,0.05217861793935302,0.009888768196106013
