rep,mean_test_benefit,min_test_benefit,clean_test_benefit,sd_test_benefit
4100,0.051112483441829726,-0.00988873839378357,0.0037083029747009277,0.034651222304746626
4101,0.0029666222631931083,-0.016069218516349792,0.05562424659729004,0.025036571848695927
4102,0.009131642803549722,-0.038318932056427,0.040791094303131104,0.02550350123107671
4103,0.028831890411675,-0.03213845193386078,0.012360930442810059,0.03809878532912116
4104,-0.008513589948415778,0.04573547840118408,0.03708285093307495,-0.011800604748239144
4105,-0.006582202762365319,0.03337453305721283,0.05686032772064209,-0.01743557301620685
4106,0.03408529125154025,-0.04449938237667084,0.03955501317977905,0.0018122154774578847
4107,0.019901111721992493,-0.049443766474723816,-0.01977747678756714,0.019467742753740747
4108,-0.01240728944540026,-0.023485779762268066,0.06180465221405029,-0.003366819413354233
4109,0.016826330125331856,0.012360945343971252,0.02101355791091919,0.0075156425664693605
4110,-0.03255562223494052,0.018541410565376282,0.07663780450820923,-0.013517568279925729
4111,-0.02282138336449857,0.022249683737754822,0.05191594362258911,-0.017910389260404364
4112,-0.010228677652776241,-0.034610629081726074,0.15698397159576416,0.018711556814196798
4113,-0.008482692763209343,0.0049443840980529785,0.02101355791091919,-0.0014325495382427889
4114,0.008699011802673351,0.0,0.0049443840980529785,0.018912695108541266
4115,0.00432632938027383,0.022249698638916016,0.07169342041015625,0.010353061744653724
4116,-0.03949320185929539,0.05067984759807587,-0.0704573392868042,-0.023880204608377267
4117,-0.012376387789845511,-0.0024721920490264893,0.07169342041015625,-0.003870688785240592
4118,0.02997528072446587,0.0271940678358078,0.01483309268951416,-0.002030188937627797
4119,0.024103836715221427,0.008652657270431519,0.05809640884399414,0.02728309706472927
4120,0.003816440515220121,-0.0271940678358078,-0.009888708591461182,-0.008303542574348677
4121,-0.0028739159926772784,-0.016069218516349792,-0.0037083029747009277,-0.008498363205060783
4122,0.013782447949051868,-0.011124849319458008,0.022249698638916016,0.008367261265398718
4123,0.00415636282414189,0.009888753294944763,0.018541455268859863,0.016088181016678443
4124,0.04290791191160681,0.03584672510623932,0.11742889881134033,0.017633723230571136
4125,0.003862788900732994,-0.0012360960245132446,0.034610629081726074,0.0015004619140621955
4126,0.03873609416186813,-0.009888753294944763,-0.023485779762268066,-0.008361851947421728
4127,0.014663168229162693,-0.03708280622959137,-0.0037083029747009277,0.0001303325247754561
4128,-0.012963532656431243,-0.04944375157356262,-0.01359701156616211,0.006176320226237486
4129,0.020132877863943577,0.0012360811233520508,0.08529049158096313,0.027796277157122143
4130,0.012546352297067576,0.04820767045021057,0.10754019021987915,0.005953190063155617
4131,-0.005284300073981285,0.032138437032699585,0.0679851770401001,-0.012248711054451966
4132,-0.028569216653704654,-0.012360930442810059,0.03337454795837402,0.0021378295172673756
4133,0.010058712214231491,-0.08281829953193665,0.0,0.008383729858084665
4134,0.007339307293295905,-0.06427688896656036,0.011124849319458008,0.02874190088398737
4135,-0.021075404435396128,-0.04820767045021057,-0.0012361407279968262,0.009532135779060646
4136,0.00978059042245144,0.019777506589889526,0.05562424659729004,-0.012517115925704703
4137,0.009193446114659332,0.08034610748291016,0.12484550476074219,0.013596526178285995
4138,-0.005593325570225682,0.0012360960245132446,0.01977747678756714,0.022752721687709115
4139,0.000339926034212068,0.023485779762268066,0.017305314540863037,0.012918267010687476
4140,0.05326019991189235,-0.03955499827861786,0.06056857109069824,0.04555877643771335
4141,-0.033189117349684216,0.025957971811294556,0.07540172338485718,0.017998188547499877
4142,-0.012561802752315998,-0.019777506589889526,-0.05191594362258911,0.009840197987509375
4143,0.009023486822843485,-0.009888753294944763,0.06427687406539917,0.024088785818540362
4144,0.014709518849849723,0.0,0.04573547840118408,0.006304057978492067
4145,-0.007200247421860706,0.034610629081726074,0.08652657270431519,-0.00541518935143423
4146,0.03468788377940657,0.0049443840980529785,-0.017305314540863037,0.0073872007924717376
4147,0.01656365431845186,-0.017305314540863037,0.021013617515563965,0.005958550715951569
4148,0.028569220751524016,0.03955501317977905,0.05191594362258911,0.02542608711371286
4149,0.001344253309071064,0.034610629081726074,-0.00741654634475708,-0.010319912428590497
4150,-0.03431705757975578,0.05686032772064209,0.011124789714813232,-0.0030997028064841253
4151,-0.010537703335285253,-0.003708288073539734,-0.0321384072303772,0.0007246916791928404
4152,0.005608774349093459,0.004944369196891785,0.08529043197631836,-0.0003266460509125657
4153,-0.005686032772064253,0.024721890687942505,-0.04326331615447998,0.006826445567789857
4154,-0.011263909004628592,0.016069218516349792,0.1112484335899353,-0.0023255137501843326
4155,-0.0033529061824082995,-0.03831891715526581,0.00741654634475708,0.018254628462673547
4156,0.0007880136370658763,-0.019777506589889526,-0.05315202474594116,0.02001354563796187
4157,-0.02696230039000508,-0.04944375157356262,-0.06304079294204712,0.008648358958068689
4158,-0.014941286481916949,-0.011124849319458008,-0.024721920490264893,-0.007948329338505977
4159,-0.017212606593966506,0.03708280622959137,0.14833128452301025,0.00027824354438439614
