comparison,metric,n,delta,p,p_holm_5
gradnov4-loss4,mean_test,40,0.0012062499999999934,0.002672163863663597,0.013360819318317986
gradnov4-loss4,sd_test,40,-0.0001419269192560526,0.31999213657179526,0.6399842731435905
gradnov4-loss4,p10_test,40,0.0012125000000000094,0.013234782816449664,0.052939131265798654
gradnov4-loss4,min_test,40,0.001874999999999992,0.029382980622757328,0.08814894186827199
gradnov4-loss4,clean_test,40,0.0006583333333333316,0.3363122905218393,0.6399842731435905
