method,train_seconds,env_forwards,mean_test,sd_test,p10_test,min_test,clean_test
learned_top6_8,0.20032089948654175,640.0,0.5373974722530692,0.1186558224634798,0.36161797553300856,0.253146068751812,0.5002247229218483
learned_top7_8,0.2053951859474182,640.0,0.5311095503903925,0.11990297646797561,0.3543483130633831,0.25382022485136985,0.5012359485030174
old_transfer7_8,0.20348840951919556,640.0,0.5153820233466104,0.13258429842294833,0.33052808955311774,0.19449438266456126,0.4820224761962891
oracle7_8,0.20463061332702637,640.0,0.5369339887984097,0.11702175825684469,0.3688764031231403,0.26696628853678706,0.5061797693371772
random8,0.19191824197769164,640.0,0.5263497191201896,0.1260905903191179,0.34350561782717703,0.2595505632460117,0.497191010415554
raw64_8,0.203520667552948,640.0,0.5273539327085018,0.13027119579130814,0.3396741569042206,0.2197752796113491,0.47617977261543276
weighted12_8,0.1993711233139038,640.0,0.5410730340238661,0.11818112092389037,0.36985393181443216,0.2538202226161957,0.5005617961287498
weighted64_8,0.20488910675048827,640.0,0.5347612365428358,0.11779320319182034,0.3565393275022507,0.2529213480651379,0.48640449345111847
