,mean_test,mean_test,sd_test,sd_test,p10_test,p10_test,min_test,min_test,clean_test,clean_test,train_seconds,train_seconds,env_forwards,env_forwards,selected_pair_cos,selected_pair_cos,selected_loss,selected_loss
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
prefilter,,,,,,,,,,,,,,,,,,
4,0.5249438203964383,0.016758665574773398,0.11849243645924216,0.00896116808514872,0.37866853818297386,0.02508388971907471,0.22898876331746573,0.03389289469270401,0.47921348214149473,0.043946732044264844,0.12130491733551022,0.00822169844491689,320.0,0.0,0.24403123714920522,0.014239674837200674,1.7141329873353244,0.018155958434796855
6,0.5340814608428628,0.017720970931674074,0.09992711295038739,0.009524292008550908,0.40276404418051237,0.028822783288208916,0.2664606727659702,0.03431466722105988,0.4654494374990463,0.04988973866462802,0.16826660633087154,0.020449544549072357,480.0,0.0,0.24994217829757415,0.014437313014141003,1.786732944212854,0.019368665914760306
8,0.534466994763352,0.022521459584232736,0.09368866999498247,0.010498813565977667,0.4105224713683128,0.03214286276803658,0.27488763928413384,0.03822558356220543,0.4648876428604126,0.04133975970072152,0.1922912716865539,0.013387251335020936,640.0,0.0,0.2592745775706498,0.016180845634464196,1.8146771791949867,0.021296159683356682
12,0.5308518263371662,0.023291992824257313,0.08572872159846492,0.008237257398273936,0.41966292381286613,0.029111672250263478,0.2867977518588304,0.03489390311662637,0.4642696611583233,0.045006582076751685,0.24553632140159604,0.025968153798532678,960.0,0.0,0.26076748311728465,0.015111661297038287,1.8285089321061967,0.021137098235818507
16,0.5297443821979686,0.017047374693996472,0.08881785715228863,0.00830662004599779,0.4146123597770929,0.022546204012376808,0.2818539317697286,0.03884885836948108,0.46264044791460035,0.04054595433519503,0.2722685098648071,0.02832057844717628,1280.0,0.0,0.26105178028239034,0.015817037510749372,1.8369403902068733,0.02026623072848548
